N5
2021-09-05
Kilian Bauer,00:06:28,00:03:00,00:31:02,00:00:35,00:15:41,00:56:46
Jannik Hoffmann,00:06:25,00:02:59,00:31:38,00:00:31,00:15:40,00:57:13
Uwe Drescher,00:07:06,00:03:02,00:31:04,00:00:38,00:15:49,00:57:39
Nils Huckschlag,00:06:33,00:02:58,00:31:32,00:00:34,00:16:08,00:57:45
Jannik Stoll,00:06:40,00:03:08,00:30:43,00:00:34,00:16:50,00:57:55
Julian Müller,00:06:39,00:02:59,00:31:35,00:00:35,00:16:10,00:57:59
Marius Lau,00:06:48,00:03:12,00:31:17,00:00:36,00:16:06,00:58:00
Herbert Enzinger,00:07:02,00:03:00,00:31:38,00:00:36,00:16:02,00:58:19
Christoph Bentz,00:06:23,00:03:06,00:32:17,00:00:29,00:16:14,00:58:30
Tim Braeutigam,00:06:00,00:03:21,00:31:34,00:00:39,00:17:05,00:58:38
Carl Sommer,00:07:26,00:02:59,00:31:32,00:00:39,00:16:08,00:58:43
Alexander Richter,00:07:14,00:03:15,00:31:43,00:00:36,00:15:59,00:58:46
Peter Kösters,00:07:13,00:03:02,00:31:58,00:00:34,00:16:03,00:58:50
Yannis Hippe,00:07:04,00:03:19,00:31:36,00:00:33,00:16:19,00:58:50
Marius Overdick,00:06:35,00:03:52,00:31:15,00:00:41,00:16:40,00:59:03
Peter Huber,00:07:15,00:03:12,00:31:26,00:00:38,00:16:40,00:59:12
Tim Wolf,00:06:35,00:03:12,00:32:11,00:00:39,00:16:38,00:59:14
David Zimmermann,00:07:32,00:03:13,00:31:55,00:00:40,00:16:07,00:59:27
Georg Schneider,00:07:22,00:03:09,00:32:12,00:00:36,00:16:13,00:59:31
Felix Kirmaier,00:06:59,00:03:19,00:31:44,00:00:33,00:16:57,00:59:32
Christian Altstadt,00:07:08,00:03:22,00:31:26,00:00:39,00:17:00,00:59:34
Alex Häberle,00:06:57,00:03:10,00:31:46,00:00:43,00:15:58,00:59:34
Ralf Gärtner,00:07:08,00:02:57,00:32:38,00:00:38,00:16:15,00:59:36
Markus Klinder,00:00:00,00:00:00,00:32:41,00:00:41,00:16:53,00:59:40
Micha Grosch,00:06:39,00:03:03,00:32:07,00:00:40,00:17:11,00:59:41
Tobias May,00:06:56,00:03:18,00:32:01,00:00:48,00:16:52,00:59:54
Benjamin Winke,00:07:01,00:03:14,00:31:55,00:00:38,00:17:13,01:00:01
Noah Diemann,00:06:38,00:02:57,00:33:12,00:00:52,00:16:25,01:00:02
Lukas Hufnagel,00:07:09,00:03:11,00:32:28,00:00:38,00:16:48,01:00:14
Vincent Schipperges,00:07:00,00:03:28,00:31:44,00:00:41,00:17:25,01:00:18
Jonas Uster,00:07:39,00:03:07,00:33:27,00:00:36,00:15:35,01:00:23
Simon Ostertag,00:06:26,00:03:24,00:32:17,00:00:35,00:18:04,01:00:46
Johannes Bader,00:06:48,00:03:13,00:33:27,00:00:50,00:16:32,01:00:49
Luis Valentino Höra,00:06:58,00:03:13,00:33:06,00:01:04,00:16:37,01:00:58
Vincent Leon Chudy,00:06:51,00:03:12,00:33:21,00:00:54,00:16:42,01:01:00
Elias Knoll,00:07:02,00:03:18,00:33:02,00:00:53,00:16:55,01:01:10
Jan Erik Künne,00:06:57,00:03:07,00:32:07,00:00:36,00:17:36,01:01:23
Antonio Lucena Calderon,00:07:15,00:03:25,00:34:38,00:00:56,00:15:34,01:01:49
Hendrik Berner,00:07:24,00:03:20,00:33:07,00:00:38,00:17:23,01:01:52
Eugen Ruff,00:06:39,00:03:14,00:33:47,00:00:37,00:16:57,01:02:14
Lars Strohbach,00:06:38,00:03:30,00:34:09,00:00:39,00:17:22,01:02:18
Steffen Lotter,00:06:52,00:03:18,00:34:11,00:00:37,00:18:00,01:02:59
