N5
2021-07-11
Laura Zimmermann,00:12:09,00:01:25,00:31:16,00:01:28,00:16:18,01:02:37
Vera Nickel,00:11:20,00:01:12,00:33:22,00:01:26,00:16:37,01:03:57
Kim Heidemann,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,01:05:22
Johanna Ahrens,00:11:03,00:01:21,00:34:23,00:01:33,00:17:24,01:05:43
Eleisa Haag,00:12:43,00:01:31,00:34:18,00:01:39,00:15:44,01:05:56
Franziska Schildhauer,00:10:33,00:01:09,00:34:15,00:01:18,00:17:43,01:05:57
Theresa Lowinus,00:11:24,00:01:23,00:34:14,00:01:35,00:17:40,01:06:15
Christine Pietzner,00:12:47,00:01:26,00:32:57,00:01:34,00:17:33,01:06:17
Theresa Timmerevers,00:11:25,00:01:31,00:34:51,00:01:26,00:18:09,01:07:21
Nina Koller,00:11:09,00:01:40,00:34:23,00:01:36,00:18:36,01:07:24
Raja Neumann,00:09:58,00:01:20,00:36:33,00:01:38,00:18:03,01:07:31
Lorena Erl,00:12:06,00:01:20,00:34:35,00:01:27,00:18:04,01:07:33
Simone Kraft,00:12:03,00:01:15,00:35:44,00:01:20,00:17:28,01:07:50
Imke Jagau,00:12:42,00:01:52,00:34:02,00:01:40,00:17:45,01:08:01
Jelena Helmreich,00:12:36,00:01:21,00:34:13,00:01:29,00:18:26,01:08:05
Linda Detering,00:11:44,00:01:24,00:35:20,00:01:33,00:18:32,01:08:32
Maike Syassen,00:11:56,00:01:11,00:34:13,00:01:32,00:19:48,01:08:40
Annika Rahner,00:12:05,00:01:25,00:35:15,00:01:27,00:18:29,01:08:40
Carolyn Schaltegger,00:13:17,00:01:26,00:34:59,00:01:30,00:17:29,01:08:41
Sofia Warter Rubio,00:12:31,00:01:23,00:35:28,00:01:31,00:17:58,01:08:52
Jana Schmidt,00:13:22,00:01:13,00:34:48,00:01:30,00:18:37,01:09:29
Karin Jung,00:10:59,00:01:22,00:36:28,00:01:31,00:19:17,01:09:37
Nadine Reißner,00:10:46,00:01:33,00:36:24,00:01:43,00:19:22,01:09:48
Nadine Scherübl,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,01:10:01
Connie Seiboth,00:13:00,00:01:37,00:35:21,00:01:39,00:18:26,01:10:02
Tami Stützel,00:11:11,00:01:17,00:36:23,00:01:39,00:20:18,01:10:48
Theresa Neukam,00:10:56,00:01:22,00:36:43,00:01:37,00:20:11,01:10:50
Silke Heidemann,00:12:26,00:01:27,00:36:02,00:01:56,00:19:45,01:11:36
Julia Ramsauer,00:12:59,00:01:27,00:35:46,00:01:32,00:19:55,01:11:39
Lara Tonak,00:11:30,00:01:21,00:39:18,00:01:25,00:18:47,01:12:21
Anna-Lena Wittmann,00:13:46,00:01:34,00:35:42,00:01:34,00:20:07,01:12:43
