S0
2021-07-18
Livia Eggler,00:00:00,0:00:51,00:33:14,0:00:50,0:29:10,1:04:06
Lena Brunkhorst,00:00:00,0:00:52,00:32:34,0:00:53,0:30:00,1:04:20
Antonia Koch,00:00:00,0:00:53,00:32:22,0:00:50,0:31:05,1:05:10
Lea van Beek,00:00:00,0:00:51,00:32:24,0:00:48,0:31:18,1:05:22
Kristina Ziemons,00:00:00,00:01:14,00:34:04,0:00:48,0:29:39,1:05:45
Alicia Stölting,00:00:00,0:00:52,00:33:37,0:00:48,0:30:58,1:06:15
Andrea Madelena Lang Bolvig,00:00:00,0:00:54,00:35:09,0:00:51,0:29:25,1:06:19
Anika Weißkirchen,00:00:00,00:01:38,00:33:35,0:00:50,0:30:27,1:06:30
Lisanne Naumann,00:00:00,0:00:52,00:32:51,0:00:51,0:32:02,1:06:37
Elisa Herold,00:00:00,0:00:53,00:34:30,0:00:58,0:30:22,1:06:44
Ronja Steiling,00:00:00,0:00:52,00:33:35,0:00:54,0:31:41,1:07:03
Larissa Jasper,00:00:00,0:00:52,00:33:40,0:00:57,0:31:49,1:07:18
Kathia Spiegeler,00:00:00,0:00:55,00:33:43,0:00:52,0:31:48,1:07:19
Carlota Hellbusch,00:00:00,0:00:54,00:34:03,0:00:52,0:31:45,1:07:34
Charlotte Friedrich,00:00:00,0:00:55,00:34:40,0:00:56,0:31:05,1:07:37
Johanna Wachendorff,00:00:00,0:00:54,00:34:02,0:00:51,0:32:04,1:07:51
Kimberly Miller,00:00:00,0:00:59,00:32:36,0:00:53,0:33:31,1:07:59
Marie Miroslaw,00:00:00,0:00:54,00:34:04,0:00:54,0:32:14,1:08:07
Carmen Otten,00:00:00,0:00:56,00:32:56,0:00:57,0:33:23,1:08:13
Inga Hintze,00:00:00,00:01:00,00:34:02,0:01:01,0:32:24,1:08:27
Nidia Ruiz Porath,00:00:00,0:00:55,00:34:00,0:00:53,0:32:51,1:08:39
Stina Malin Mick,00:00:00,0:00:54,00:34:37,0:00:53,0:32:19,1:08:44
Christine Becker,00:00:00,00:01:46,00:33:00,0:00:54,0:33:08,1:08:48
Henriette Grassmann,00:00:00,0:00:54,00:33:14,0:00:58,0:34:23,1:09:30
Nina Rosenbladt,00:00:00,0:00:55,00:34:56,0:00:55,0:32:57,1:09:44
Svea Lüdorff,00:00:00,00:01:44,00:33:59,0:00:51,0:33:57,1:10:32
Jule Niedung,00:00:00,00:01:01,00:34:45,0:01:04,0:34:33,1:11:24
Astrid Devriese,00:00:00,00:01:18,00:36:32,0:00:54,0:32:49,1:11:34
Lena Kalthoff,00:00:00,0:00:57,00:35:15,0:00:57,0:34:29,1:11:38
Frederike van Beek,00:00:00,0:00:54,00:35:25,0:00:53,0:34:44,1:11:57
Sonja Bettge,00:00:00,0:00:54,00:34:59,0:01:00,0:35:21,1:12:14
Maike Terveer,00:00:00,0:00:59,00:35:11,0:01:01,0:35:04,1:12:15
Laura Freund,00:00:00,00:01:06,00:35:29,0:01:04,0:34:44,1:12:23
Julia Hey,00:00:00,0:00:59,00:36:41,0:00:59,0:34:48,1:13:28
Victoria Vestergaard Hansen,00:00:00,0:00:55,00:35:17,0:01:02,0:36:23,1:13:38
Elise Tahay,00:00:00,00:01:02,00:00:00,0:00:00,0:23:20,0:00:00
