S5
2023-09-02
Lena Brunkhorst,00:13:18,00:00:01,00:38:37,00:00:01,00:18:11,00:49:06
Hannah Arlom,00:14:02,00:00:01,00:37:56,00:00:01,00:18:11,00:49:10
Sophie Gießmann,00:12:41,00:00:01,00:39:16,00:00:01,00:18:21,00:49:19
Marike Schneehagen,00:13:22,00:00:01,00:38:30,00:00:01,00:18:34,00:49:27
Fabienne Gericke,00:13:20,00:00:01,00:38:14,00:00:01,00:19:17,00:49:52
Larissa Jasper,00:13:48,00:00:01,00:38:02,00:00:01,00:19:07,00:49:58
Friederike Willoughby,00:13:31,00:00:01,00:38:25,00:00:01,00:19:11,00:50:06
Hjördis Mick,00:13:06,00:00:01,00:38:33,00:00:01,00:19:28,00:50:10
Charlotte Funk,00:13:06,00:00:01,00:38:22,00:00:01,00:19:49,00:50:18
Yasmin Ulbrich,00:14:12,00:00:01,00:39:50,00:00:01,00:18:09,00:51:11
Jana Kipping,00:13:14,00:00:01,00:37:55,00:00:01,00:21:00,00:51:11
Therese Schuhenn,00:13:44,00:00:01,00:39:58,00:00:01,00:18:55,00:51:38
Mori Finder,00:13:06,00:00:01,00:40:29,00:00:01,00:19:23,00:52:00
Lena Cecilia Riedel,00:13:29,00:00:01,00:40:06,00:00:01,00:19:40,00:52:16
Christine Becker,00:14:18,00:00:01,00:39:21,00:00:01,00:19:46,00:52:28
Carlota Hellbusch,00:13:31,00:00:01,00:39:50,00:00:01,00:20:13,00:52:36
Emma Langer,00:13:42,00:00:01,00:39:41,00:00:01,00:20:20,00:52:45
Ayleen Lang,00:13:29,00:00:01,00:39:51,00:00:01,00:20:41,00:53:01
Olivia Peel,00:14:30,00:00:01,00:40:34,00:00:01,00:19:03,00:53:09
Emily Theiler,00:13:06,00:00:01,00:40:20,00:00:01,00:20:46,00:53:14
Lina Franczyk,00:14:53,00:00:01,00:40:27,00:00:01,00:19:25,00:53:46
Elisa Herold,00:13:40,00:00:01,00:41:19,00:00:01,00:19:51,00:53:56
Tabea Herzberg,00:13:34,00:00:01,00:41:29,00:00:01,00:20:08,00:54:12
Sophie Kral,00:13:31,00:00:01,00:41:51,00:00:01,00:20:04,00:54:25
Inga Sauer,00:14:30,00:00:01,00:40:19,00:00:01,00:20:38,00:54:30
Stina Malin Mick,00:13:54,00:00:01,00:41:27,00:00:01,00:20:11,00:54:32
Jana Binninger,00:15:02,00:00:01,00:39:59,00:00:01,00:20:30,00:54:32
Franziska Jeschke,00:13:08,00:00:01,00:41:27,00:00:01,00:21:07,00:54:44
Jara Brandenberg,00:13:59,00:00:01,00:40:48,00:00:01,00:21:39,00:55:27
Laura Mählmann,00:13:17,00:00:01,00:41:39,00:00:01,00:21:41,00:55:38
Hannah Matthes,00:13:29,00:00:01,00:41:22,00:00:01,00:22:23,00:55:51
Cosmea Heinze,00:14:09,00:00:01,00:40:22,00:00:01,00:23:08,00:56:40
Tabea Schell,00:17:49,00:00:01,00:40:26,00:00:01,00:19:58,00:57:05
Meike Kling,00:16:14,00:00:01,00:41:49,00:00:01,00:20:16,00:57:19
Josephin Betche,00:17:00,00:00:01,00:40:55,00:00:01,00:20:48,00:57:30
Julia Hagenstein,00:15:52,00:00:01,00:42:00,00:00:01,00:20:39,00:57:33
Gwendolin Rapp,00:15:06,00:00:01,00:41:44,00:00:01,00:22:22,00:58:12
Mara Bünder,00:16:31,00:00:01,00:43:29,00:00:01,00:19:58,00:58:30
Daniela Wiefhoff,00:17:16,00:00:01,00:41:06,00:00:01,00:23:02,00:59:29
Katharina Krosta,00:13:45,00:00:01,00:41:45,00:00:01,00:19:51,00:00:00
Johanna Geise,00:16:35,00:00:01,00:42:02,00:00:01,00:20:47,00:00:00
Frederike van Beek,00:14:09,00:00:01,00:42:01,00:00:01,00:23:09,00:00:00
Sonja Struckholt,00:19:34,00:00:01,00:43:12,00:00:01,00:24:23,00:00:00
