S5
2023-09-02
Annika Koch,00:12:39,00:00:01,00:35:51,00:00:01,00:16:21,00:45:27
Tanja Neubert,00:12:58,00:00:01,00:35:23,00:00:01,00:16:37,00:45:35
Solveig Løvseth,00:13:12,00:00:01,00:35:09,00:00:01,00:16:51,00:45:49
Selina Klamt,00:12:21,00:00:01,00:37:02,00:00:01,00:16:55,00:46:54
Finja Schierl,00:12:36,00:00:01,00:36:36,00:00:01,00:17:11,00:47:00
Franka Rust,00:12:57,00:00:01,00:36:26,00:00:01,00:17:02,00:47:00
Eva Daniëls,00:12:48,00:00:01,00:36:32,00:00:01,00:17:06,00:47:02
Julia Bröcker,00:12:49,00:00:01,00:36:19,00:00:01,00:17:28,00:47:14
Robin Dreyling,00:12:47,00:00:01,00:36:31,00:00:01,00:17:51,00:47:45
Anna Busse,00:13:20,00:00:01,00:37:32,00:00:01,00:17:07,00:48:35
Céline Kaiser,00:12:52,00:00:01,00:37:54,00:00:01,00:17:23,00:48:46
Margareta Bicanova,00:13:04,00:00:01,00:37:39,00:00:01,00:17:34,00:48:54
Letizia Martinelli,00:13:16,00:00:01,00:37:50,00:00:01,00:17:36,00:48:56
Daryna Moskalenko,00:12:49,00:00:01,00:37:54,00:00:01,00:17:41,00:49:01
Dominika Peszleg,00:12:58,00:00:01,00:37:50,00:00:01,00:17:44,00:49:07
Lara Thekla Ungewickell,00:13:08,00:00:01,00:37:28,00:00:01,00:17:55,00:49:07
Leann Naima Dietzel,00:12:57,00:00:01,00:37:45,00:00:01,00:17:51,00:49:08
Lucie Kammer,00:12:59,00:00:01,00:37:37,00:00:01,00:18:02,00:49:14
Nele Dequae,00:13:05,00:00:01,00:37:25,00:00:01,00:18:10,00:49:16
Jenny Jendryschik,00:13:25,00:00:01,00:37:06,00:00:01,00:18:12,00:49:19
Kim van 't Verlaat,00:13:10,00:00:01,00:37:15,00:00:01,00:18:18,00:49:20
Silke De Wolde,00:12:57,00:00:01,00:37:33,00:00:01,00:18:17,00:49:22
Pia Wolf,00:12:47,00:00:01,00:37:47,00:00:01,00:18:13,00:49:24
Magdalena Früh,00:13:25,00:00:01,00:37:08,00:00:01,00:18:16,00:49:25
Mirjam Huber,00:12:48,00:00:01,00:37:39,00:00:01,00:18:36,00:49:39
Ronja Steiling,00:13:07,00:00:01,00:37:25,00:00:01,00:18:33,00:49:40
Felipa Herrmann,00:12:51,00:00:01,00:37:32,00:00:01,00:18:44,00:49:42
Jony Heerink,00:13:15,00:00:01,00:37:08,00:00:01,00:18:48,00:49:48
Aniek Mars,00:13:07,00:00:01,00:37:16,00:00:01,00:19:09,00:50:07
Joanna Wozniak,00:13:31,00:00:01,00:38:30,00:00:01,00:17:44,00:50:21
Annabel Morton,00:13:26,00:00:01,00:38:31,00:00:01,00:17:52,00:50:29
Leana Bissig,00:13:20,00:00:01,00:38:30,00:00:01,00:18:10,00:50:37
Lea Cagol,00:13:28,00:00:01,00:38:15,00:00:01,00:18:18,00:50:39
Valerie Moser,00:14:05,00:00:01,00:37:39,00:00:01,00:18:21,00:50:41
Johanna Uherek,00:12:57,00:00:01,00:38:51,00:00:01,00:18:22,00:50:44
Stephanie Weiß,00:13:30,00:00:01,00:38:14,00:00:01,00:18:24,00:50:44
Alina Würth,00:13:04,00:00:01,00:38:46,00:00:01,00:18:21,00:50:46
Isabel Sterr,00:13:23,00:00:01,00:38:25,00:00:01,00:18:24,00:50:48
Shannon Kelly,00:13:43,00:00:01,00:38:11,00:00:01,00:18:26,00:50:53
Marie Miroslaw,00:13:42,00:00:01,00:38:06,00:00:01,00:18:38,00:51:01
Romy Spoelder,00:13:50,00:00:01,00:37:34,00:00:01,00:19:17,00:51:17
Greta Groten,00:12:44,00:00:01,00:38:49,00:00:01,00:19:16,00:51:24
Claudia Wipfler,00:14:39,00:00:01,00:38:29,00:00:01,00:18:16,00:51:59
Amelie Hanf,00:14:16,00:00:01,00:38:24,00:00:01,00:18:58,00:52:14
Kathrin Halter,00:14:00,00:00:01,00:38:30,00:00:01,00:19:25,00:52:23
Alina Weber,00:13:30,00:00:01,00:39:09,00:00:01,00:19:12,00:52:28
Helen Scheffold,00:13:16,00:00:01,00:38:49,00:00:01,00:19:39,00:52:28
Anna Heyder,00:14:00,00:00:01,00:38:29,00:00:01,00:19:28,00:52:32
Imke Bosch,00:13:27,00:00:01,00:38:58,00:00:01,00:19:41,00:52:42
Karina Kornmüller,00:13:25,00:00:01,00:39:18,00:00:01,00:19:30,00:52:51
Pauline Feußner,00:13:17,00:00:01,00:39:22,00:00:01,00:19:41,00:52:57
Nina Rosenbladt,00:13:23,00:00:01,00:38:46,00:00:01,00:20:23,00:53:09
Saskia Haug,00:14:35,00:00:01,00:40:03,00:00:01,00:18:34,00:53:48
Eleisa Haag,00:14:55,00:00:01,00:40:54,00:00:01,00:17:25,00:53:50
Sophie Schumann,00:13:22,00:00:01,00:38:49,00:00:01,00:21:44,00:54:32
Raja Neumann,00:13:19,00:00:01,00:39:11,00:00:01,00:22:34,00:55:21
Anne Neidhardt,00:13:30,00:00:01,00:40:58,00:00:01,00:21:35,00:56:15
Lisa Heinrichs,00:15:13,00:00:01,00:41:48,00:00:01,00:19:19,00:56:43
Tatjana Kortmann,00:14:24,00:00:01,00:41:21,00:00:01,00:21:40,00:57:00
Kathia Spiegeler,00:13:46,00:00:01,00:43:26,00:00:01,00:21:57,00:58:51
Lina Völker,00:12:42,00:00:01,00:38:32,00:00:01,00:21:44,00:00:00
Valesca Zoe Wippich,00:14:02,00:00:01,00:41:49,00:00:01,00:23:16,00:00:00
