N1.1
2021-06-27
Lisa Tertsch,00:03:23,00:00:30,00:04:33,00:00:45,00:03:33,00:12:42
Therese Feuersinger,00:03:18,00:00:33,00:04:29,00:00:46,00:03:47,00:12:52
Nina Eim,00:03:23,00:00:31,00:04:33,00:00:44,00:03:44,00:12:52
Lena Meißner,00:03:27,00:00:30,00:04:32,00:00:47,00:03:43,00:12:57
Julia Bröcker,00:03:33,00:00:35,00:04:31,00:00:43,00:03:41,00:13:02
Alissa Konig,00:03:28,00:00:30,00:04:36,00:00:44,00:03:47,00:13:03
Jule Behrens,00:03:30,00:00:28,00:04:39,00:00:46,00:03:49,00:13:10
Katharina Möller,00:03:30,00:00:31,00:04:34,00:00:48,00:03:49,00:13:10
Tereza Zimovjanova,00:03:40,00:00:34,00:04:34,00:00:44,00:03:40,00:13:10
Felipa Herrmann,00:03:30,00:00:31,00:04:39,00:00:44,00:03:51,00:13:13
Bianca Bogen,00:03:25,00:00:31,00:04:33,00:00:49,00:03:59,00:13:15
Franka Rust,00:03:35,00:00:33,00:04:32,00:00:50,00:03:49,00:13:17
Estelle Perriard,00:03:40,00:00:33,00:04:31,00:00:47,00:03:49,00:13:18
Caroline Pohle,00:03:20,00:00:30,00:04:41,00:00:57,00:03:55,00:13:20
Sophie Rohr,00:03:29,00:00:33,00:04:40,00:00:48,00:03:54,00:13:22
Lucie Kammer,00:03:32,00:00:32,00:04:43,00:00:46,00:03:52,00:13:22
Marit Van Den Berg,00:03:33,00:00:33,00:04:42,00:00:45,00:03:53,00:13:23
Lea Stratmann,00:03:35,00:00:36,00:04:33,00:00:49,00:03:55,00:13:25
Lara Thekla Ungewickell,00:03:33,00:00:32,00:04:38,00:00:48,00:04:01,00:13:29
Kati Krüger,00:03:32,00:00:34,00:04:49,00:00:49,00:03:50,00:13:31
Hannah Stegmaier,00:03:47,00:00:32,00:04:43,00:00:48,00:03:45,00:13:33
Greta Groten,00:03:29,00:00:34,00:04:48,00:00:47,00:04:02,00:13:39
Ursula Trützschler,00:03:36,00:00:32,00:04:56,00:00:51,00:03:53,00:13:47
Nadine Klive,00:03:33,00:00:32,00:04:51,00:00:49,00:04:06,00:13:48
Svenja Deichmann,00:03:32,00:00:36,00:04:45,00:00:50,00:04:09,00:13:49
Sophia Weiler,00:03:40,00:00:31,00:04:43,00:01:02,00:03:58,00:13:53
Isabel Sterr,00:03:36,00:00:33,00:05:02,00:00:52,00:03:53,00:13:54
Marike Schneehagen,00:03:47,00:00:34,00:04:46,00:00:50,00:04:00,00:13:54
Kathrin Halter,00:03:38,00:00:35,00:04:51,00:00:51,00:04:02,00:13:55
Emma Thiele,00:03:40,00:00:36,00:04:44,00:00:47,00:04:09,00:13:55
Leana Bissig,00:03:36,00:00:34,00:04:57,00:00:51,00:03:59,00:13:56
Andrea Madelena Lang Bolvig,00:03:40,00:00:37,00:05:06,00:00:46,00:03:54,00:14:02
Anna Busse,00:03:43,00:00:31,00:05:03,00:00:50,00:03:57,00:14:02
Rike Kubillus,00:03:54,00:00:34,00:04:42,00:00:51,00:04:05,00:14:04
Sophie Schumann,00:03:36,00:00:30,00:04:57,00:00:46,00:04:20,00:14:06
Anika Weißkirchen,00:03:48,00:00:33,00:04:53,00:00:48,00:04:12,00:14:12
Antonia Koch,00:03:58,00:00:35,00:04:39,00:00:50,00:04:12,00:14:12
Noelle Werner,00:03:32,00:00:35,00:04:50,00:00:59,00:04:19,00:14:13
Nidia Ruiz Porath,00:03:42,00:00:35,00:04:47,00:00:50,00:04:21,00:14:13
Thalia Stach,00:03:46,00:00:35,00:04:55,00:00:45,00:04:15,00:14:15
Lea Cagol,00:03:46,00:00:40,00:04:52,00:00:52,00:04:09,00:14:16
