S0
2021-07-18
Jonas Hoffmann,00:00:00,0:00:43,00:28:50,0:00:44,0:24:15,0:54:33
Nick Emde,00:00:00,0:00:47,00:28:46,0:00:41,0:24:35,0:54:49
Miguel Risco Bermejo,00:00:00,0:00:42,00:29:03,0:00:39,0:24:26,0:54:51
Alexander Kull,00:00:00,0:00:42,00:29:10,0:00:41,0:24:48,0:55:22
Lasse Schöfisch,00:00:00,0:00:47,00:29:02,0:00:41,0:25:08,0:55:38
Wilhelm Hirsch,00:00:00,0:00:41,00:29:26,0:00:42,0:24:50,0:55:39
Max Schröter,00:00:00,0:00:41,00:29:31,0:00:44,0:24:43,0:55:40
Theo Sonnenberg,00:00:00,0:00:43,00:29:23,0:00:40,0:24:56,0:55:43
John Heiland,00:00:00,0:00:44,00:29:25,0:00:41,0:24:54,0:55:45
Paul Wiesner,00:00:00,0:00:48,00:28:56,0:00:46,0:25:18,0:55:48
Jonas Müller,00:00:00,0:00:43,00:29:04,0:00:41,0:25:21,0:55:49
Philipp Dressel-Putz,00:00:00,0:00:44,00:29:25,0:00:41,0:25:10,0:56:01
Marcel Lehmberg,00:00:00,0:00:43,00:29:28,0:00:42,0:25:09,0:56:02
Maurice Witt,00:00:00,0:00:42,00:29:02,0:00:42,0:25:45,0:56:11
Philipp Fahrenholz,00:00:00,0:00:44,00:28:55,0:00:43,0:25:58,0:56:20
Felix Nadeborn,00:00:00,0:00:44,00:29:28,0:00:42,0:25:27,0:56:21
Hauke Horstmann,00:00:00,0:00:44,00:28:53,0:00:41,0:26:08,0:56:27
Sven Kiene,00:00:00,0:00:44,00:28:58,0:00:44,0:26:07,0:56:33
Renning Elischer,00:00:00,0:00:41,00:29:11,0:00:43,0:26:08,0:56:44
Marc Günther,00:00:00,0:00:44,00:28:55,0:00:45,0:26:20,0:56:44
Alex Schmitt,00:00:00,0:00:46,00:29:03,0:00:41,0:26:19,0:56:49
Peter Lehmann,00:00:00,0:00:44,00:28:49,0:00:43,0:26:33,0:56:49
Scott Anderson,00:00:00,0:00:39,00:29:06,0:00:47,0:26:23,0:56:56
Paul Senger,00:00:00,0:00:42,00:29:02,0:00:49,0:26:24,0:56:58
Lukas Schnödewind,00:00:00,0:00:44,00:29:19,0:00:45,0:26:15,0:57:04
Kenneth Warmuth,00:00:00,0:00:46,00:28:49,0:00:46,0:26:42,0:57:04
Albert Frydensberg,00:00:00,0:00:41,00:29:37,0:00:46,0:26:06,0:57:10
Alexander Brennecke,00:00:00,0:00:44,00:28:46,0:00:48,0:26:52,0:57:11
Martin Schulz,00:00:00,0:00:46,00:29:26,0:00:46,0:26:27,0:57:26
Christian Nass,00:00:00,0:00:47,00:30:09,0:00:48,0:26:03,0:57:47
Björn Scheibner,00:00:00,0:00:44,00:28:56,0:00:46,0:27:22,0:57:49
Timo Behrens,00:00:00,0:00:45,00:29:13,0:00:48,0:27:03,0:57:49
Nick Hansen,00:00:00,0:00:48,00:28:53,0:00:59,0:27:19,0:57:59
Pelle-Oskar Lambertsen,00:00:00,0:00:49,00:28:48,0:00:53,0:27:34,0:58:04
Lucas Weithoff,00:00:00,0:00:46,00:29:20,0:00:48,0:27:29,0:58:24
Tim Mignon,00:00:00,0:00:47,00:29:18,0:00:44,0:27:42,0:58:31
Peter Spiekermann,00:00:00,0:00:48,00:29:31,0:00:47,0:27:28,0:58:35
Anders Toft Nielsen,00:00:00,0:00:48,00:29:16,0:00:48,0:27:52,0:58:44
Friedrich Hegge,00:00:00,0:00:43,00:30:12,0:00:42,0:27:10,0:58:47
Marius Lindemann,00:00:00,0:00:48,00:30:17,0:00:48,0:27:00,0:58:53
Leon Steinböhmer,00:00:00,0:00:49,00:29:16,0:00:45,0:28:06,0:58:57
Maximilian Zbocna,00:00:00,0:00:48,00:30:05,0:00:50,0:27:22,0:59:05
Lukes Eggert,00:00:00,0:00:48,00:30:16,0:00:47,0:27:23,0:59:14
Niklas Dellke,00:00:00,0:00:44,00:31:14,0:00:47,0:26:30,0:59:15
Lorenz Heinemann,00:00:00,0:00:49,00:30:07,0:00:43,0:27:38,0:59:18
Hauke Heller,00:00:00,0:00:52,00:29:42,0:00:50,0:27:54,0:59:19
Christian Pfeifer,00:00:00,0:00:51,00:30:06,0:00:45,0:27:49,0:59:31
Stefan Becker,00:00:00,0:00:51,00:30:14,0:00:45,0:27:52,0:59:42
