S5
2023-09-02
Vetle Bergsvik Thorn,0:11:18,0:00:01,0:32:45,0:00:01,0:14:25,00:41:15
Henry Christopher Graf,0:11:07,0:00:01,0:32:48,0:00:01,0:14:35,00:41:16
Lasse Lührs,0:11:16,0:00:01,0:32:34,0:00:01,0:14:40,00:41:16
Jonas Schomburg,0:11:05,0:00:01,0:32:48,0:00:01,0:14:46,00:41:26
Simon Westermann,0:11:02,0:00:01,0:32:41,0:00:01,0:15:08,00:41:39
Rico Bogen,0:10:58,0:00:01,0:32:48,0:00:01,0:15:15,00:41:49
Jonas Osterholt,0:11:16,0:00:01,0:32:42,0:00:01,0:15:12,00:41:57
Alexander Kull,0:11:33,0:00:01,0:32:30,0:00:01,0:15:07,00:41:58
Nick Emde,0:11:44,0:00:01,0:32:26,0:00:01,0:15:09,00:42:06
Euan De Nigro,0:11:07,0:00:01,0:32:57,0:00:01,0:15:17,00:42:08
Dries Matthys,0:11:51,0:00:01,0:32:22,0:00:01,0:15:11,00:42:11
Luca Fahrenson,0:11:23,0:00:01,0:32:37,0:00:01,0:15:24,00:42:12
Lennart Sievers,0:11:18,0:00:01,0:32:48,0:00:01,0:15:23,00:42:15
Maximilian Sperl,0:11:34,0:00:01,0:32:37,0:00:01,0:15:21,00:42:18
Neilan Kempmann,0:11:31,0:00:01,0:32:37,0:00:01,0:15:23,00:42:19
Fabian Schönke,0:11:47,0:00:01,0:32:25,0:00:01,0:15:24,00:42:22
Silas Schmitt,0:11:21,0:00:01,0:32:51,0:00:01,0:15:35,00:42:35
Jaspar Ortfeld,0:11:53,0:00:01,0:33:30,0:00:01,0:14:42,00:42:52
Peter Denteneer,0:11:24,0:00:01,0:33:49,0:00:01,0:15:00,00:42:59
Hannes Butters,0:11:13,0:00:01,0:32:51,0:00:01,0:16:09,00:43:02
Roee Zoarets,0:11:42,0:00:01,0:33:42,0:00:01,0:15:01,00:43:12
David Lang,0:11:39,0:00:01,0:33:33,0:00:01,0:15:16,00:43:16
Linus Lehnen,0:11:56,0:00:01,0:33:34,0:00:01,0:15:00,00:43:16
Theo Sonnenberg,0:11:46,0:00:01,0:33:28,0:00:01,0:15:16,00:43:16
Milan Tomin,0:11:44,0:00:01,0:33:22,0:00:01,0:15:23,00:43:17
Ian Pennekamp,0:11:29,0:00:01,0:33:28,0:00:01,0:15:37,00:43:21
Thomas Guilmot,0:11:38,0:00:01,0:33:31,0:00:01,0:15:26,00:43:23
Nicolò Ragazzo,0:11:04,0:00:01,0:34:13,0:00:01,0:15:20,00:43:24
Michael Ziegler,0:11:45,0:00:01,0:33:34,0:00:01,0:15:20,00:43:26
Moritz Göttler,0:11:34,0:00:01,0:33:42,0:00:01,0:15:29,00:43:32
Tuur Lemmens,0:11:16,0:00:01,0:33:51,0:00:01,0:15:39,00:43:33
Hidde Mollee,0:11:28,0:00:01,0:33:43,0:00:01,0:15:39,00:43:36
John Heiland,0:11:53,0:00:01,0:33:23,0:00:01,0:15:35,00:43:40
Jonathan Trebst,0:12:00,0:00:01,0:33:15,0:00:01,0:15:45,00:43:46
Ian Manthey,0:11:53,0:00:01,0:33:15,0:00:01,0:15:52,00:43:48
Malte Kreibich,0:11:25,0:00:01,0:33:34,0:00:01,0:16:04,00:43:51
Seppe De Graef,0:11:41,0:00:01,0:33:33,0:00:01,0:15:51,00:43:53
Moritz Meier,0:11:45,0:00:01,0:33:17,0:00:01,0:16:12,00:44:00
Louis Woodgate,0:11:36,0:00:01,0:33:21,0:00:01,0:16:18,00:44:03
Samuel Linsenmeier,0:11:50,0:00:01,0:33:15,0:00:01,0:16:22,00:44:12
Simon Den Braber,0:11:56,0:00:01,0:32:53,0:00:01,0:16:40,00:44:16
Jakob von Müller,0:11:13,0:00:01,0:33:43,0:00:01,0:16:40,00:44:23
Constantin Johannsen,0:11:30,0:00:01,0:33:17,0:00:01,0:17:04,00:44:39
Jocelyn Mourier,0:11:27,0:00:01,0:33:36,0:00:01,0:16:54,00:44:45
Karl Diedrich,0:12:07,0:00:01,0:34:10,0:00:01,0:15:59,00:45:02
Bruno Krumbeck,0:11:21,0:00:01,0:33:32,0:00:01,0:17:26,00:45:05
Junias Benjamin Groth,0:11:51,0:00:01,0:32:58,0:00:01,0:17:37,00:45:14
Lukáš Juránek,0:12:03,0:00:01,0:34:14,0:00:01,0:16:13,00:45:17
Alejandro Canas Del Palacio,0:11:59,0:00:01,0:34:37,0:00:01,0:16:00,00:45:22
Stijn Jansen,0:11:53,0:00:01,0:34:29,0:00:01,0:16:19,00:45:29
Jannik Hoffmann,0:12:06,0:00:01,0:34:13,0:00:01,0:16:37,00:45:42
Joey van 't Verlaat,0:12:07,0:00:01,0:34:13,0:00:01,0:16:58,00:46:05
Friedrich Hegge,0:12:02,0:00:01,0:34:27,0:00:01,0:17:05,00:46:20
Thomas Epton,0:11:49,0:00:01,0:34:51,0:00:01,0:17:32,00:46:30
Simon Wendlandt,0:12:04,0:00:01,0:36:10,0:00:01,0:15:46,00:46:32
Matteo Brian Kozka,0:12:10,0:00:01,0:35:31,0:00:01,0:16:33,00:46:48
Paul Weigand,0:12:20,0:00:01,0:35:21,0:00:01,0:17:00,00:47:28
Maximilian Meckel,0:11:28,0:00:01,0:34:47,0:00:01,0:18:36,00:47:38
Jayden Scott Koslick,0:11:52,0:00:01,0:35:37,0:00:01,0:17:50,00:47:48
Florian Seifert,0:12:38,0:00:01,0:35:29,0:00:01,0:18:24,00:48:57
Henry Beck,0:12:25,0:00:01,0:36:08,0:00:01,0:19:50,00:49:46
Moritz Bickel,0:12:56,0:00:01,0:37:22,0:00:01,0:17:18,00:49:51
Finn Willars,0:13:41,0:00:01,0:37:13,0:00:01,0:17:04,00:50:03
