S0
2022-08-07
Simon Henseleit,00:06:20,00:01:02,00:16:56,00:00:26,00:10:30,00:35:15
Valentin Wernz,00:06:16,00:01:06,00:16:49,00:00:26,00:10:11,00:35:19
Johannes Vogel,00:06:14,00:01:03,00:17:00,00:00:25,00:10:11,00:35:20
Joao Silva,00:06:18,00:01:05,00:16:48,00:00:29,00:10:12,00:35:25
Chris Ziehmer,00:06:12,00:01:02,00:16:49,00:00:27,00:10:17,00:35:28
Eric Diener,00:06:17,00:01:08,00:16:48,00:00:26,00:10:26,00:35:33
Maximilian Sperl,00:06:16,00:01:06,00:17:00,00:00:26,00:10:28,00:35:38
Bence Lehmann,00:06:06,00:01:03,00:16:52,00:00:29,00:10:31,00:35:45
Fabian Kraft,00:06:05,00:01:02,00:17:00,00:00:25,00:10:42,00:35:53
Lennart Sievers,00:06:17,00:01:07,00:16:56,00:00:29,00:10:44,00:35:55
Gjalt Panjer,00:06:20,00:01:00,00:16:44,00:00:30,00:10:41,00:35:56
Nathan Grayel,00:06:22,00:01:01,00:17:13,00:00:27,00:10:06,00:35:57
Aurelien Jem,00:06:14,00:01:05,00:17:14,00:00:26,00:10:09,00:35:58
Rico Bogen,00:06:08,00:01:06,00:16:48,00:00:27,00:10:51,00:35:59
Wilhelm Hirsch,00:06:13,00:01:04,00:16:55,00:00:27,00:10:48,00:36:01
Jan Diener,00:06:10,00:01:04,00:16:57,00:00:26,00:11:05,00:36:12
Lukas Pertl,00:06:27,00:01:03,00:17:15,00:00:24,00:10:30,00:36:19
Neilan Kempmann,00:06:17,00:01:08,00:16:41,00:00:27,00:11:20,00:36:28
Lachlan Jones,00:06:16,00:01:03,00:17:24,00:00:25,00:10:47,00:36:37
Till Kramp,00:06:15,00:01:03,00:17:10,00:00:24,00:10:51,00:36:39
Benedikt Bettin,00:06:15,00:01:04,00:17:11,00:00:27,00:10:50,00:36:40
Jonas Osterholt,00:06:17,00:01:04,00:17:14,00:00:27,00:10:51,00:36:41
Hannes Butters,00:06:04,00:01:06,00:17:02,00:00:28,00:11:38,00:36:50
Jonas Hoffmann,00:06:40,00:01:03,00:17:20,00:00:28,00:10:27,00:37:02
Ian Manthey,00:06:35,00:01:10,00:17:28,00:00:27,00:10:28,00:37:02
Gergely Kiss,00:06:06,00:01:03,00:17:51,00:00:29,00:10:25,00:37:03
Gaspar Riveros,00:06:24,00:01:02,00:17:35,00:00:29,00:10:32,00:37:10
Justus Töpper,00:06:37,00:01:06,00:17:19,00:00:26,00:10:50,00:37:25
Kurt Wesley,00:06:14,00:01:05,00:17:32,00:00:26,00:10:50,00:37:28
Alexander Kull,00:06:39,00:01:12,00:17:22,00:00:30,00:10:49,00:37:30
Gregor Payet,00:06:36,00:01:06,00:17:31,00:00:27,00:10:58,00:37:34
Cedric Osterholt,00:06:17,00:01:11,00:17:36,00:00:27,00:11:01,00:37:36
