N1.1
2021-06-27
Lasse Lührs,00:03:05,00:00:29,00:04:08,00:00:40,00:03:16,00:11:35
Lasse Nygaard Priester,00:03:07,00:00:28,00:04:09,00:00:32,00:03:25,00:11:39
Arnaud Des Boscs,00:03:01,00:00:28,00:04:17,00:00:39,00:03:20,00:11:43
Simon Henseleit,00:03:05,00:00:27,00:04:07,00:00:45,00:03:21,00:11:43
Dries Matthys,00:03:06,00:00:30,00:04:08,00:00:44,00:03:21,00:11:45
Magnus Männer,00:02:59,00:00:28,00:04:11,00:00:44,00:03:26,00:11:46
Gregor Payet,00:03:08,00:00:27,00:04:03,00:00:37,00:03:35,00:11:48
Mika Noodt,00:03:11,00:00:27,00:04:14,00:00:41,00:03:17,00:11:48
Lars Holenweger,00:02:57,00:00:29,00:04:15,00:00:42,00:03:29,00:11:49
Jan Diener,00:03:05,00:00:28,00:04:13,00:00:42,00:03:27,00:11:52
Mark Devay,00:03:06,00:00:29,00:04:15,00:00:43,00:03:21,00:11:52
Jonas Osterholt,00:03:08,00:00:29,00:04:18,00:00:41,00:03:18,00:11:52
Fabian Kraft,00:02:56,00:00:31,00:04:23,00:00:43,00:03:22,00:11:53
Felix Duchampt,00:03:17,00:00:26,00:04:20,00:00:42,00:03:13,00:11:55
Sergio Baxter Cabrera,00:03:08,00:00:28,00:04:17,00:00:44,00:03:24,00:11:58
Scott McClymont,00:03:02,00:00:28,00:04:11,00:00:44,00:03:35,00:11:59
Lennart Sievers,00:03:06,00:00:31,00:04:18,00:00:44,00:03:23,00:11:59
Eric Diener,00:03:12,00:00:31,00:04:13,00:00:42,00:03:23,00:11:59
Cedric Osterholt,00:03:09,00:00:30,00:04:19,00:00:46,00:03:20,00:12:01
Fabian Schönke,00:03:14,00:00:28,00:04:07,00:00:42,00:03:31,00:12:01
Justus Töpper,00:03:13,00:00:27,00:04:12,00:00:42,00:03:30,00:12:02
Chris Ziehmer,00:03:35,00:00:27,00:04:04,00:00:42,00:03:17,00:12:02
Benedikt Bettin,00:03:07,00:00:29,00:04:19,00:00:43,00:03:27,00:12:03
Roberto Sánchez,00:03:21,00:00:29,00:04:13,00:00:42,00:03:20,00:12:03
Marc Trautmann,00:02:59,00:00:29,00:04:20,00:00:44,00:03:34,00:12:04
Rico Bogen,00:03:08,00:00:35,00:04:12,00:00:41,00:03:30,00:12:04
Janne Büttel,00:03:10,00:00:30,00:04:13,00:00:41,00:03:33,00:12:05
Wilhelm Hirsch,00:03:06,00:00:33,00:04:22,00:00:43,00:03:25,00:12:07
Ognjen Stojanovic,00:03:10,00:00:31,00:04:17,00:00:47,00:03:24,00:12:07
Hannes Butters,00:02:58,00:00:31,00:04:24,00:00:43,00:03:35,00:12:08
Victor Goené,00:03:13,00:00:28,00:04:18,00:00:43,00:03:29,00:12:08
Lukas Cervenka,00:03:04,00:00:30,00:04:19,00:00:45,00:03:34,00:12:10
Karl Diedrich,00:03:17,00:00:32,00:04:11,00:00:46,00:03:28,00:12:12
Thomas Ott,00:03:18,00:00:00,00:00:00,00:00:56,00:03:16,00:12:16
Maurice Witt,00:03:10,00:00:29,00:04:18,00:00:42,00:03:40,00:12:17
Linus Lehnen,00:03:16,00:00:31,00:04:26,00:00:45,00:03:21,00:12:17
Joey van 't Verlaat,00:03:19,00:00:29,00:04:14,00:00:49,00:03:29,00:12:17
Dario Chitti,00:03:11,00:00:29,00:04:22,00:00:46,00:03:33,00:12:18
Duncan Frey,00:03:13,00:00:30,00:04:20,00:00:42,00:03:36,00:12:20
Timo Behrens,00:03:08,00:00:29,00:04:19,00:00:51,00:03:36,00:12:21
Marius Neuber,00:03:06,00:00:28,00:04:17,00:00:44,00:03:49,00:12:22
Albert Frydensberg,00:03:22,00:00:31,00:04:22,00:00:47,00:03:23,00:12:23
Dario Ernst,00:03:19,00:00:27,00:04:16,00:00:45,00:03:39,00:12:24
Alexander Kull,00:03:14,00:00:30,00:04:17,00:00:44,00:03:40,00:12:24
Jocelyn Mourier,00:03:08,00:00:29,00:04:27,00:00:40,00:03:43,00:12:25
Paul Weigand,00:03:17,00:00:34,00:04:18,00:00:48,00:03:30,00:12:26
Aron Thimm,00:03:11,00:00:32,00:04:23,00:00:47,00:03:37,00:12:28
Marcel Lehmberg,00:03:21,00:00:29,00:04:21,00:00:46,00:03:35,00:12:31
David Breinlinger,00:03:18,00:00:30,00:04:20,00:00:52,00:03:35,00:12:31
Nicolas Mehrer,00:03:23,00:00:29,00:04:16,00:00:48,00:03:38,00:12:32
Renning Elischer,00:03:18,00:00:29,00:04:17,00:00:47,00:03:43,00:12:32
Gianluca Weßling,00:03:15,00:00:30,00:04:19,00:00:39,00:03:52,00:12:33
Fabian Reuter,00:03:19,00:00:34,00:04:31,00:00:48,00:03:25,00:12:34
John Heiland,00:03:24,00:00:29,00:04:24,00:00:37,00:03:42,00:12:34
Paul Wiesner,00:03:29,00:00:29,00:04:22,00:00:52,00:03:24,00:12:35
Simon den Braber,00:03:24,00:00:30,00:04:12,00:00:50,00:03:42,00:12:36
Oliver Gorges,00:03:14,00:00:29,00:04:33,00:00:45,00:03:38,00:12:38
Julius Laudagé,00:03:12,00:00:29,00:04:32,00:00:48,00:03:29,00:12:39
Jan Rudolf,00:03:21,00:00:34,00:04:27,00:00:49,00:03:30,00:12:39
Niklas Dellke,00:03:07,00:00:29,00:04:32,00:00:53,00:03:42,00:12:41
Yannic Stollenwerk,00:03:26,00:00:32,00:04:31,00:00:44,00:03:30,00:12:41
Max Schröter,00:03:35,00:00:29,00:04:27,00:00:49,00:03:23,00:12:41
Tizian Berlin,00:03:12,00:00:29,00:04:31,00:00:49,00:03:44,00:12:43
Junias Benjamin Groth,00:03:23,00:00:30,00:04:28,00:00:50,00:03:36,00:12:43
Miguel Risco Bermejo,00:03:43,00:00:30,00:04:25,00:00:47,00:03:21,00:12:44
Paul Senger,00:03:37,00:00:31,00:04:24,00:00:47,00:03:29,00:12:45
Tom Heisig,00:03:13,00:00:31,00:04:37,00:00:53,00:03:35,00:12:46
Kai Dahlhaus,00:03:23,00:00:33,00:04:30,00:00:45,00:03:39,00:12:47
Simeon Schumann,00:03:20,00:00:29,00:04:30,00:00:46,00:03:45,00:12:48
Niklas Behrens,00:03:28,00:00:29,00:04:22,00:00:48,00:03:42,00:12:48
Friedrich Hegge,00:03:32,00:00:28,00:04:25,00:00:48,00:03:40,00:12:51
Jonas Mier,00:03:06,00:00:33,00:04:35,00:00:56,00:03:44,00:12:52
Daniel Roggenland,00:03:14,00:00:31,00:04:28,00:00:46,00:03:55,00:12:52
Norman Fenske,00:03:35,00:00:32,00:04:29,00:00:48,00:03:31,00:12:52
Alexander Brennecke,00:03:38,00:00:32,00:04:18,00:00:43,00:03:43,00:12:52
Leonard Arnold,00:03:34,00:00:35,00:04:30,00:00:48,00:03:32,00:12:56
Lasse Schöfisch,00:03:53,00:00:31,00:04:22,00:00:46,00:03:28,00:12:58
Hauke Horstmann,00:03:32,00:00:29,00:04:30,00:00:48,00:03:42,00:12:59
Florian Seifert,00:03:34,00:00:32,00:04:23,00:00:49,00:03:43,00:13:00
Julian Schröder,00:03:37,00:00:32,00:04:19,00:00:51,00:03:45,00:13:01
Kenneth Warmuth,00:03:33,00:00:31,00:04:26,00:00:49,00:03:46,00:13:02
Joshua Berles,00:03:20,00:00:32,00:04:30,00:00:52,00:03:52,00:13:03
Sven Kiene,00:03:24,00:00:32,00:04:47,00:00:46,00:03:37,00:13:05
Pelle-Oskar Lambertsen,00:03:27,00:00:32,00:04:21,00:00:56,00:03:50,00:13:05
Moritz Werrbach,00:03:24,00:00:33,00:04:29,00:00:45,00:03:57,00:13:06
Jonas Müller,00:03:47,00:00:32,00:04:26,00:00:49,00:03:34,00:13:06
Niklas Faaborg Andersen,00:03:30,00:00:30,00:04:37,00:00:46,00:03:46,00:13:07
Moritz Hoppe,00:03:25,00:00:30,00:04:26,00:00:52,00:03:48,00:13:09
Lukas Buhl,00:03:28,00:00:29,00:04:39,00:00:45,00:03:50,00:13:09
Peter Spiekermann,00:03:36,00:00:31,00:04:37,00:00:53,00:03:35,00:13:09
Marc Günther,00:03:52,00:00:32,00:04:27,00:00:43,00:03:36,00:13:09
Aljoscha Willgosch,00:03:30,00:00:33,00:04:37,00:00:48,00:03:45,00:13:11
Simon Vogel,00:03:14,00:00:36,00:04:28,00:00:54,00:04:04,00:13:14
Lucas Weithoff,00:03:44,00:00:32,00:04:25,00:00:55,00:03:40,00:13:15
Max Paul Komes,00:03:31,00:00:32,00:04:34,00:00:54,00:03:46,00:13:16
Sebastian Czerny,00:03:57,00:00:30,00:04:23,00:00:49,00:03:40,00:13:17
Scott Anderson,00:03:44,00:00:30,00:04:26,00:00:51,00:03:47,00:13:17
Philipp Fahrenholz,00:03:48,00:00:36,00:04:25,00:00:52,00:03:38,00:13:17
Maurice Herwig,00:03:40,00:00:33,00:04:30,00:00:49,00:03:48,00:13:18
Constantin Johannsen,00:03:49,00:00:33,00:04:28,00:00:55,00:03:35,00:13:18
Lennart Müller,00:03:27,00:00:36,00:04:39,00:00:50,00:03:49,00:13:19
Marvin Wetzk,00:03:45,00:00:31,00:04:33,00:00:48,00:03:45,00:13:20
Mikkel Rasmussen,00:03:47,00:00:31,00:04:38,00:00:47,00:03:38,00:13:20
Maximilian Zbocna,00:03:42,00:00:36,00:04:29,00:01:00,00:03:36,00:13:21
Maximilian Krüger,00:03:11,00:00:33,00:04:40,00:00:56,00:04:04,00:13:22
Leon Steinböhmer,00:03:32,00:00:32,00:04:36,00:00:47,00:03:57,00:13:22
Marius Lindemann,00:03:34,00:00:35,00:04:39,00:00:56,00:03:39,00:13:22
Christian Pfeifer,00:03:25,00:00:46,00:04:32,00:00:51,00:03:52,00:13:24
Simon Knarr,00:03:35,00:00:31,00:04:48,00:00:53,00:03:41,00:13:26
Jan Königs,00:03:27,00:00:34,00:04:33,00:00:54,00:04:01,00:13:27
Luis Schöniger,00:03:33,00:00:33,00:04:41,00:00:47,00:03:58,00:13:29
Hendrik Möller,00:03:41,00:00:32,00:04:22,00:00:51,00:04:05,00:13:29
Daniel Klosa,00:03:13,00:00:36,00:04:40,00:00:51,00:04:12,00:13:30
Bjarne Rehkamp,00:03:26,00:00:34,00:04:40,00:00:49,00:04:02,00:13:30
Jann Paul Jakisch,00:03:39,00:00:33,00:04:39,00:00:50,00:03:53,00:13:32
Niklas Greeven,00:03:42,00:00:34,00:04:33,00:00:51,00:03:56,00:13:33
Johannes Kern,00:03:33,00:00:32,00:04:38,00:00:48,00:04:07,00:13:35
Sebastian Czerny,00:04:12,00:00:32,00:04:27,00:00:47,00:03:40,00:13:35
Finn Eschler,00:03:39,00:00:33,00:04:38,00:00:54,00:03:53,00:13:36
Fabian Günther,00:03:08,00:00:41,00:04:47,00:00:57,00:04:05,00:13:37
Max Lou Kerth,00:03:35,00:00:35,00:04:45,00:00:53,00:03:54,00:13:39
Marike Schneehagen,00:03:47,00:00:34,00:04:46,00:00:50,00:04:00,00:13:54
Lukes Eggert,00:03:52,00:00:35,00:04:57,00:00:52,00:03:42,00:13:56
Maximilian Heide,00:03:56,00:00:33,00:04:52,00:00:50,00:03:51,00:14:01
Constantin Krüger,00:03:13,00:00:33,00:04:45,00:00:58,00:04:42,00:14:09
Marian Kraemer,00:04:00,00:00:32,00:04:45,00:00:51,00:04:05,00:14:11
Jonas Küpper,00:03:42,00:00:37,00:05:01,00:00:51,00:04:06,00:14:14
Max Erik Wille,00:04:15,00:00:34,00:04:42,00:00:58,00:03:50,00:14:17
Jonas Gaide,00:04:03,00:00:39,00:04:41,00:01:02,00:04:03,00:14:36
