D5
2021-08-08
Isabel Altendorfer,0:11:07,0:01:30,0:31:40,0:00:36,0:19:11,01:04:03
Simone Kraft,0:12:07,0:01:42,0:32:00,0:00:40,0:18:24,01:04:51
Jule Resselberger,0:11:10,0:01:30,0:31:36,0:00:40,0:19:58,01:04:52
Kim Heidemann,0:11:05,0:01:42,0:32:58,0:00:37,0:18:36,01:04:57
Vera Nickel,0:11:13,0:01:42,0:32:55,0:00:38,0:18:45,01:05:11
Linda Detering,0:11:36,0:01:35,0:32:36,0:00:38,0:19:21,01:05:43
Sophia Stößer,0:11:05,0:01:44,0:33:03,0:00:42,0:19:28,01:06:01
Christine Pietzner,0:12:09,0:01:45,0:31:54,0:00:44,0:19:34,01:06:04
Sarah Karollus,0:11:48,0:02:01,0:32:00,0:00:45,0:19:39,01:06:11
Sofia Warter Rubio,0:11:57,0:01:32,0:32:23,0:00:40,0:19:47,01:06:17
Nele Nieschlag,0:11:27,0:01:31,0:32:49,0:00:38,0:19:56,01:06:18
Theresa Timmerevers,0:11:49,0:01:40,0:32:23,0:00:39,0:20:03,01:06:31
Lorena Erl,0:12:04,0:01:43,0:32:03,0:00:49,0:20:38,01:07:16
Theresa Lowinus,0:12:17,0:01:45,0:33:31,0:00:39,0:19:27,01:07:36
Anna Schmidt,0:12:06,0:01:46,0:33:40,0:00:46,0:19:25,01:07:41
Tanja Willersinn,0:13:03,0:01:56,0:32:31,0:00:37,0:19:37,01:07:42
Karin Jung,0:11:08,0:01:38,0:33:01,0:00:38,0:21:38,01:08:02
Mona Schulz,0:11:56,0:01:59,0:31:56,0:00:42,0:21:34,01:08:06
Dajana Pechtl,0:10:50,0:01:49,0:34:55,0:00:46,0:19:50,01:08:08
Nadine Scherübl,0:13:00,0:01:57,0:32:34,0:00:45,0:19:53,01:08:08
Maike Syassen,0:12:02,0:01:45,0:31:59,0:00:46,0:22:10,01:08:39
Imke Jagau,0:13:43,0:01:32,0:32:49,0:00:45,0:20:23,01:09:10
Connie Seiboth,0:13:16,0:01:56,0:34:48,0:00:46,0:19:50,01:10:35
Katharina Binzenhöfer,0:12:53,0:01:47,0:32:52,0:00:50,0:22:44,01:11:03
Jana Schmidt,0:13:04,0:02:09,0:34:46,0:00:44,0:20:53,01:11:35
Delia Blaess,0:11:56,0:01:58,0:36:04,0:00:48,0:21:16,01:12:00
Anna-Lena Wittmann,0:14:43,0:01:31,0:34:44,0:00:43,0:22:45,01:14:24
Zita Kastl,0:13:42,0:01:41,0:34:35,0:00:41,0:24:10,01:14:46
