D5
2023-07-23
Lisa Tertsch,00:10:12,00:00:37,00:27:55,00:00:20,00:19:12,00:58:14
Solveig Løvseth,00:10:57,00:00:42,00:27:34,00:00:20,00:19:33,00:59:04
Natalie Van Coevorden,00:10:13,00:00:42,00:28:18,00:00:20,00:19:42,00:59:13
Anabel Knoll,00:10:04,00:00:39,00:28:00,00:00:20,00:20:25,00:59:27
Romana Gajdošová,00:10:51,00:00:47,00:27:36,00:00:20,00:20:25,00:59:58
Célia Merle,00:10:08,00:00:41,00:27:56,00:00:20,00:21:18,01:00:21
Therese Feuersinger,00:09:59,00:00:39,00:28:02,00:00:20,00:21:38,01:00:38
Aniek Mars,00:10:36,00:00:46,00:27:51,00:00:20,00:21:07,01:00:39
Nele Dequae,00:11:00,00:00:41,00:27:32,00:00:20,00:21:20,01:00:51
Silke De Wolde,00:10:24,00:00:44,00:28:07,00:00:20,00:21:43,01:01:16
Pia Wolf,00:10:30,00:00:48,00:27:56,00:00:20,00:21:56,01:01:28
Tabea Huys,00:10:00,00:00:40,00:28:05,00:00:20,00:22:39,01:01:41
Ronja Steiling,00:10:34,00:00:41,00:27:58,00:00:20,00:22:32,01:02:04
Lina Völker,00:10:51,00:00:43,00:27:38,00:00:20,00:22:38,01:02:08
Lucie Kammer,00:10:55,00:00:40,00:27:38,00:00:20,00:22:51,01:02:21
Margareta Bicanova,00:11:02,00:00:44,00:29:29,00:00:20,00:20:51,01:02:23
Lara Thekla Ungewickell,00:10:58,00:00:43,00:27:31,00:00:20,00:23:12,01:02:43
Mirjam Huber,00:10:10,00:00:42,00:28:22,00:00:20,00:23:12,01:02:45
Anna Witteveen,00:10:55,00:00:47,00:29:31,00:00:20,00:21:36,01:03:07
Magdalena Früh,00:11:01,00:00:42,00:29:28,00:00:20,00:21:39,01:03:08
Lea Stratmann,00:11:14,00:00:43,00:29:16,00:00:20,00:21:45,01:03:15
Leann Naima Dietzel,00:11:03,00:00:38,00:29:34,00:00:20,00:21:52,01:03:25
Jana Uderstadt,00:11:20,00:00:42,00:29:11,00:00:20,00:21:58,01:03:29
Claudia Wipfler,00:12:04,00:00:54,00:29:09,00:00:20,00:21:04,01:03:31
Carolin Meyer,00:12:13,00:00:43,00:29:08,00:00:20,00:21:07,01:03:31
Lea Cagol,00:11:04,00:00:43,00:29:27,00:00:20,00:22:04,01:03:36
Romy Spoelder,00:11:32,00:00:40,00:29:01,00:00:20,00:22:22,01:03:52
Sophie Gießmann,00:11:06,00:00:44,00:29:23,00:00:20,00:22:22,01:03:53
Isabel Sterr,00:11:11,00:00:47,00:29:21,00:00:20,00:22:31,01:04:07
Antonia Koch,00:11:31,00:00:40,00:29:04,00:00:20,00:22:36,01:04:10
Sabrina Roth,00:11:11,00:00:45,00:29:22,00:00:20,00:22:38,01:04:15
Alina Würth,00:11:05,00:00:41,00:29:31,00:00:20,00:22:46,01:04:21
Carolin Lehrieder,00:11:16,00:00:45,00:29:12,00:00:20,00:22:56,01:04:28
Greta Groten,00:11:01,00:00:43,00:29:31,00:00:20,00:22:56,01:04:29
Madlen Kappeler,00:13:01,00:00:46,00:30:07,00:00:20,00:20:30,01:04:43
Finja Herrmann,00:11:03,00:00:42,00:29:31,00:00:20,00:23:10,01:04:44
Joanna Wozniak,00:11:22,00:00:42,00:30:39,00:00:20,00:22:01,01:05:02
Karina Kornmüller,00:11:05,00:00:45,00:30:18,00:00:20,00:23:21,01:05:48
Jule Resselberger,00:11:06,00:00:45,00:29:25,00:00:20,00:24:18,01:05:51
Josephine Seerig,00:10:16,00:00:42,00:30:18,00:00:20,00:24:25,01:05:59
Sophie Schumann,00:10:33,00:00:43,00:29:57,00:00:20,00:24:46,01:06:18
Saskia Haug,00:12:19,00:00:43,00:30:52,00:00:20,00:22:19,01:06:31
Alina Weber,00:11:13,00:00:48,00:31:27,00:00:20,00:22:49,01:06:35
Amelie Hanf,00:11:40,00:00:45,00:31:00,00:00:20,00:22:53,01:06:37
Theresa Moser,00:10:31,00:00:47,00:31:48,00:00:20,00:23:15,01:06:39
Sabrina Fleig,00:11:30,00:00:45,00:31:40,00:00:20,00:22:29,01:06:42
Jara Brandenberg,00:11:26,00:00:42,00:29:58,00:00:20,00:24:31,01:06:55
Nina Rosenbladt,00:11:00,00:00:47,00:29:31,00:00:20,00:25:21,01:06:57
Eva Estler,00:11:20,00:00:39,00:29:13,00:00:20,00:25:30,01:07:00
Imke Bosch,00:11:18,00:00:42,00:31:26,00:00:20,00:23:20,01:07:05
Pauline Feußner,00:11:04,00:00:48,00:30:15,00:00:20,00:24:59,01:07:24
Sophia Stückrad,00:13:03,00:00:44,00:30:06,00:00:20,00:23:48,01:07:59
Yasmin Rieger,00:11:35,00:00:50,00:31:27,00:00:20,00:24:35,01:08:45
Mori Finder,00:11:01,00:00:46,00:31:42,00:00:20,00:25:12,01:08:59
Niki Buggenhout,00:10:48,00:00:46,00:30:35,00:00:20,00:27:52,01:10:20
Nadine Klive,00:11:39,00:00:46,00:34:34,00:00:20,00:24:58,01:12:16
Valesca Zoe Wippich,00:11:25,00:00:46,00:31:19,00:00:20,00:30:03,01:13:51
