D5
2022-06-26
Oliver Janny,0:09:15,0:00:29,0:26:07,0:00:31,0:13:24,0:49:46
Kilian Bauer,0:09:19,0:00:30,0:25:53,0:00:37,0:14:01,0:50:19
Manuel Lessing,0:09:18,0:00:30,0:26:02,0:00:29,0:14:06,0:50:23
Jannik Hoffmann,0:09:08,0:00:30,0:26:08,0:00:30,0:14:14,0:50:29
Karl Mell,0:09:13,0:00:30,0:26:04,0:00:30,0:14:16,0:50:32
Jonas Uster,0:10:19,0:00:28,0:25:48,0:00:32,0:13:35,0:50:40
Cornelius Theus,0:09:22,0:00:35,0:26:35,0:00:33,0:13:39,0:50:44
Ben Kaufmann,0:09:21,0:00:30,0:25:59,0:00:29,0:14:28,0:50:46
Uwe Drescher,0:10:06,0:00:27,0:25:58,0:00:31,0:13:49,0:50:49
Herbert Enzinger,0:10:11,0:00:30,0:25:57,0:00:29,0:13:46,0:50:52
Tim Braeutigam,0:08:46,0:00:36,0:26:27,0:00:34,0:14:34,0:50:56
Alexander Richter,0:10:10,0:00:31,0:25:54,0:00:32,0:13:53,0:51:00
Jan Erik Künne,0:10:11,0:00:33,0:25:51,0:00:32,0:14:00,0:51:06
Johannes Bader,0:09:27,0:00:35,0:26:33,0:00:36,0:14:01,0:51:11
Julius Domnick,0:09:13,0:00:32,0:26:06,0:00:31,0:14:57,0:51:17
Patrick Kilian,0:10:11,0:00:35,0:25:49,0:00:36,0:14:09,0:51:18
Steffen Kundel,0:10:11,0:00:33,0:25:48,0:00:33,0:14:17,0:51:22
Peter Kösters,0:10:07,0:00:33,0:25:54,0:00:30,0:14:20,0:51:23
Felix Kirmaier,0:10:01,0:00:32,0:26:02,0:00:35,0:14:15,0:51:24
Jannik Stoll,0:09:17,0:00:36,0:25:49,0:00:41,0:15:06,0:51:27
Marc-Pascal Ehlen,0:10:20,0:00:31,0:25:42,0:00:34,0:14:25,0:51:31
Micha Grosch,0:09:53,0:00:32,0:26:06,0:00:33,0:14:32,0:51:34
Eugen Ruff,0:09:15,0:00:36,0:26:01,0:00:32,0:15:24,0:51:46
Luis Valentino Höra,0:09:30,0:00:31,0:26:33,0:00:37,0:14:41,0:51:51
Philipp Hofmann,0:09:15,0:00:32,0:26:05,0:00:32,0:15:32,0:51:55
Julian Müller,0:09:33,0:00:34,0:26:31,0:00:33,0:15:02,0:52:12
Ralf Gärtner,0:10:15,0:00:28,0:25:55,0:00:33,0:15:08,0:52:17
Christof Briegel,0:10:12,0:00:35,0:25:47,0:00:45,0:15:02,0:52:20
Jan Werner,0:10:02,0:00:34,0:25:58,0:00:41,0:15:08,0:52:22
Carl Sommer,0:10:17,0:00:30,0:25:52,0:00:40,0:15:05,0:52:23
Nils Friedrichs,0:09:24,0:00:35,0:26:38,0:00:33,0:15:15,0:52:24
Pablo Warter Rubio,0:09:36,0:00:32,0:26:28,0:00:31,0:15:21,0:52:27
Lasse Friedrichs,0:09:29,0:00:35,0:26:34,0:00:29,0:15:32,0:52:39
Björn Geizenauer,0:09:16,0:00:35,0:26:46,0:00:35,0:15:36,0:52:48
Niklas Lentzkow,0:09:57,0:00:29,0:27:48,0:00:36,0:14:01,0:52:50
Matthias Freisinger,0:09:17,0:00:32,0:26:00,0:00:33,0:16:30,0:52:51
Lars Anders,0:09:51,0:00:31,0:26:10,0:00:38,0:15:42,0:52:51
Lukas Hufnagel,0:10:08,0:00:31,0:26:51,0:00:34,0:15:04,0:53:07
Sven Pollert,0:10:06,0:00:36,0:25:50,0:00:40,0:16:00,0:53:11
Fabian Knobelspies,0:09:22,0:00:35,0:27:37,0:00:39,0:15:23,0:53:35
Steffen Lotter,0:09:33,0:00:32,0:26:31,0:00:35,0:16:29,0:53:39
Peter Luff,0:10:07,0:00:32,0:26:55,0:00:40,0:15:31,0:53:43
Daniel Jungkunz,0:10:02,0:00:34,0:27:25,0:00:41,0:15:09,0:53:50
Peter Santagati,0:10:26,0:00:38,0:27:39,0:00:57,0:14:21,0:54:00
Elias Knoll,0:10:10,0:00:33,0:26:49,0:00:41,0:15:52,0:54:04
