D5
2022-05-28
Lasse Nygaard Priester,0:09:03,00:00:36,00:24:19,00:00:36,00:14:02,00:48:36
Tim Hellwig,0:09:01,00:00:35,0:24:20,00:00:34,00:14:09,00:48:39
Jannik Schaufler,0:09:02,00:00:36,0:24:21,00:00:36,00:14:11,00:48:46
Ian Manthey,0:09:08,00:00:35,0:24:14,00:00:34,00:14:19,00:48:50
Thomas Sayer,0:09:03,00:00:38,0:24:21,00:00:37,00:14:13,00:48:52
Jonas Osterholt,0:08:57,00:00:35,0:24:26,00:00:35,00:14:21,00:48:54
Fabian Kraft,0:08:55,00:00:36,0:24:30,00:00:36,00:14:19,00:48:56
Cedric Osterholt,0:08:58,00:00:39,0:24:23,00:00:37,00:14:22,00:48:59
Eric Diener,0:09:02,00:00:37,0:24:19,00:00:36,00:14:27,00:49:01
Arnaud Des Boscs,0:09:01,00:00:37,00:24:21,00:00:36,00:14:30,00:49:05
Stefan Zachäus,0:09:02,00:00:38,0:24:17,00:00:38,00:14:46,00:49:21
Nicolò Ragazzo,0:08:59,00:00:41,0:24:20,00:00:40,00:14:43,00:49:23
Tuur Lemmens,0:09:04,00:00:39,0:24:17,00:00:38,00:14:48,00:49:26
Luca Fahrenson,0:09:01,00:00:34,0:24:26,00:00:34,00:14:53,00:49:28
Raphael Montoya,0:09:19,00:00:38,0:24:49,00:00:37,00:14:09,00:49:32
David Breinlinger,0:08:58,00:00:40,0:24:24,00:00:39,00:14:51,00:49:32
Aurelien Jem,0:09:12,00:00:37,0:24:54,00:00:35,00:14:15,00:49:33
Till Kramp,0:09:03,00:00:36,0:24:20,00:00:36,00:14:58,00:49:33
Oliver Turner,0:09:02,00:00:34,0:24:23,00:00:33,00:15:03,00:49:35
Raoul Shaw,0:08:59,00:00:36,0:24:23,00:00:36,00:15:03,00:49:37
Brad Course,0:09:23,00:00:36,0:24:46,00:00:36,00:14:16,00:49:37
Lennart Sievers,0:08:54,00:00:37,0:24:28,00:00:36,00:15:03,00:49:38
Richard Murray,0:09:30,00:00:39,0:24:38,00:00:38,00:14:14,00:49:39
Pierre Ludwiczak,0:09:05,00:00:37,0:24:19,00:00:37,00:15:07,00:49:45
Magnus Männer,0:09:00,00:00:38,0:24:21,00:00:37,00:15:19,00:49:55
Linus Lehnen,0:09:27,00:00:37,0:24:40,00:00:35,00:14:42,00:50:01
Niall Caley,0:09:13,00:00:37,0:24:58,00:00:35,00:14:40,00:50:03
Peter Denteneer,0:09:11,00:00:36,0:24:57,00:00:35,00:14:46,00:50:05
Maximilian Meckel,0:09:06,00:00:40,0:24:16,00:00:39,00:15:26,00:50:07
Justus Töpper,0:09:11,00:00:36,0:24:54,00:00:36,00:14:52,00:50:09
Alexander Kull,0:09:26,00:00:38,0:24:40,00:00:38,00:14:47,00:50:09
Benedikt Bettin,0:09:15,00:00:35,0:24:50,00:00:34,00:15:07,00:50:21
Lachlan Jones,0:09:29,00:00:38,0:24:39,00:00:37,00:15:01,00:50:24
Duncan Frey,0:09:23,00:00:37,0:24:45,00:00:36,00:15:06,00:50:27
Janne Büttel,0:09:16,00:00:35,0:24:50,00:00:35,00:15:14,00:50:30
Niklas Keller,0:09:20,00:00:32,0:24:50,00:00:32,00:15:19,00:50:33
Simon Nolte,0:09:31,00:00:40,0:24:38,00:00:39,00:15:17,00:50:45
Neilan Kempmann,0:09:09,00:00:39,0:24:55,00:00:39,00:15:26,00:50:48
William Fanet,0:09:27,00:00:37,0:24:40,00:00:36,00:15:31,00:50:51
Alejandro Canas Del Palacio,00:09:13,00:00:40,00:24:56,00:00:39,00:15:25,00:50:53
Paul Wiesner,0:09:41,00:00:37,0:25:20,00:00:37,00:14:39,00:50:54
Samuel Linsenmeier,0:09:02,00:00:40,0:25:01,00:00:40,00:15:34,00:50:57
Maximilian Betts,0:08:58,00:00:37,0:24:28,00:00:37,00:16:22,00:51:02
Marcel Bolbat,0:09:46,00:00:41,0:25:08,00:00:40,00:14:49,00:51:04
Jonas Mier,00:08:56,00:00:39,00:24:27,00:00:39,00:16:25,00:51:06
Liam Lloyd,00:09:47,00:00:40,00:25:06,00:00:40,00:14:59,00:51:12
Moritz Meier,00:09:29,00:00:37,00:24:38,00:00:37,00:15:52,00:51:13
Maurice Witt,00:09:22,00:00:38,00:24:47,00:00:37,00:15:51,00:51:15
Timo Spitzhorn,00:09:24,00:00:41,00:24:40,00:00:41,00:15:52,00:51:18
Noah Künz,00:09:26,00:00:38,00:24:45,00:00:36,00:15:58,00:51:23
Theo Sonnenberg,00:09:43,00:00:36,00:25:17,00:00:36,00:15:13,00:51:25
Gianluca Weßling,00:09:22,00:00:38,00:24:48,00:00:37,00:16:03,00:51:28
Luca Bruni,00:09:22,00:00:38,00:25:33,00:00:37,00:15:18,00:51:28
Joey van 't Verlaat,00:09:38,00:00:35,00:25:22,00:00:35,00:15:19,00:51:29
Yannic Stollenwerk,00:09:50,00:00:37,00:25:08,00:00:36,00:15:20,00:51:31
Troy Whittington,00:09:35,00:00:36,00:25:24,00:00:36,00:15:26,00:51:37
Alexander Mundt,00:09:20,00:00:42,00:24:45,00:00:41,00:16:14,00:51:42
Aaron Hüter,00:09:43,00:00:40,00:25:15,00:00:39,00:15:53,00:52:10
Dario Ernst,00:09:37,00:00:37,00:25:19,00:00:36,00:16:04,00:52:13
Bjarne Rehkamp,00:09:32,00:00:42,00:25:11,00:00:42,00:16:09,00:52:16
Julius Laudagé,00:09:41,00:00:38,00:25:16,00:00:37,00:16:14,00:52:26
Moritz Göttler,00:09:17,00:00:40,00:24:48,00:00:40,00:17:09,00:52:34
Ricardo Ammarell,00:09:42,00:00:38,00:25:15,00:00:38,00:16:26,00:52:39
Leon Fischer,00:09:44,00:00:39,00:25:15,00:00:38,00:16:46,00:53:02
Leonard Arnold,00:09:51,00:00:44,00:26:41,00:00:43,00:15:08,00:53:07
Jan Rudolf,00:09:47,00:00:41,00:26:35,00:00:40,00:15:39,00:53:22
Luca Heerdt,00:10:03,00:00:38,00:26:23,00:00:37,00:15:54,00:53:35
Christoph Mattner,00:09:56,00:00:39,00:27:20,00:00:39,00:15:05,00:53:39
Hannes Venter,00:09:28,00:00:39,00:26:55,00:00:38,00:16:00,00:53:40
Kenneth Warmuth,00:09:59,00:00:38,00:26:29,00:00:37,00:16:01,00:53:44
Nils Huckschlag,00:10:27,00:00:38,00:27:06,00:00:38,00:15:44,00:54:33
Robin Schüßler,00:10:02,00:00:38,00:26:22,00:00:38,00:17:10,00:54:50
Paul Weigand,00:09:49,00:00:41,00:26:28,00:00:41,00:17:46,00:55:25
Moritz Werrbach,00:09:50,00:00:40,00:26:35,00:00:39,00:18:19,00:56:03
Tim Sievers,00:10:05,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Till Steuber,00:12:11,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
