D5
2023-06-25
Lasse Nygaard Priester,00:09:29,00:01:23,00:27:37,00:00:41,00:13:25,00:52:33
Rico Bogen,00:09:14,00:01:27,00:27:47,00:00:40,00:14:15,00:53:21
Sergio Baxter Cabrera,00:09:30,00:01:21,00:27:51,00:00:43,00:14:00,00:53:23
Mark Devay,00:09:13,00:01:27,00:27:50,00:00:43,00:14:31,00:53:42
Maximilian Sperl,00:09:26,00:01:24,00:28:35,00:00:43,00:14:27,00:54:33
Maxime Hueber-Moosbrugger,00:10:01,00:01:27,00:28:55,00:00:40,00:13:46,00:54:46
Chris Ziehmer,00:09:33,00:01:17,00:28:48,00:00:42,00:14:37,00:54:54
Thomas Guilmot,00:09:44,00:01:26,00:28:41,00:00:43,00:14:26,00:54:59
Lennart Sievers,00:09:26,00:01:25,00:28:45,00:00:41,00:14:46,00:55:01
Benedikt Bettin,00:09:22,00:01:24,00:28:40,00:00:44,00:14:58,00:55:05
Richard Murray,00:09:46,00:01:22,00:29:19,00:00:47,00:14:04,00:55:15
Arne Leiss,00:09:26,00:01:26,00:28:46,00:00:42,00:15:00,00:55:18
Alexander Kull,00:09:39,00:01:25,00:29:18,00:00:40,00:14:23,00:55:23
Tyler Smith,00:09:36,00:01:27,00:28:49,00:00:49,00:14:47,00:55:26
Sébastien Pascal,00:10:00,00:01:22,00:29:05,00:00:46,00:14:17,00:55:29
Lukas Hollaus,00:10:15,00:01:29,00:28:44,00:00:44,00:14:24,00:55:34
Stefan Zachäus,00:09:28,00:01:22,00:29:20,00:00:42,00:15:02,00:55:51
Christoph Mattner,00:10:28,00:01:22,00:29:25,00:00:39,00:14:03,00:55:55
Eirik Berling Grande,00:09:39,00:01:27,00:28:47,00:00:46,00:15:21,00:55:58
Ney Josiah,00:09:17,00:01:25,00:29:54,00:00:47,00:14:42,00:56:03
David Lang,00:10:02,00:01:22,00:29:29,00:00:42,00:14:32,00:56:06
Arnaud Des Boscs,00:09:24,00:01:29,00:29:27,00:00:53,00:15:01,00:56:11
Maximilian Meckel,00:09:30,00:01:25,00:29:14,00:00:43,00:15:26,00:56:16
Nils Huckschlag,00:10:07,00:01:26,00:28:56,00:00:44,00:15:08,00:56:19
Ivan Abele,00:09:42,00:01:30,00:28:59,00:00:46,00:15:35,00:56:30
William Fanet,00:10:08,00:01:33,00:28:47,00:00:44,00:15:26,00:56:36
Linus Lehnen,00:10:02,00:01:27,00:29:50,00:00:47,00:14:40,00:56:44
Marcel Bolbat,00:10:31,00:01:26,00:28:59,00:01:00,00:14:59,00:56:53
Constantin Johannsen,00:09:45,00:01:27,00:29:18,00:00:48,00:15:42,00:56:57
John Heiland,00:10:16,00:01:30,00:29:33,00:00:43,00:15:02,00:57:01
Jonathan Trebst,00:10:25,00:01:24,00:29:26,00:00:40,00:15:17,00:57:11
Nicholas Holmes,00:10:23,00:01:22,00:30:19,00:00:44,00:14:29,00:57:15
Jaspar Ortfeld,00:10:01,00:01:16,00:30:45,00:00:43,00:14:36,00:57:18
Duncan Frey,00:09:38,00:01:26,00:30:15,00:00:43,00:15:23,00:57:22
Junias Benjamin Groth,00:09:53,00:01:29,00:29:23,00:00:45,00:15:59,00:57:27
Samuel Linsenmeier,00:09:35,00:01:25,00:30:40,00:00:47,00:15:05,00:57:30
Silas Schmitt,00:09:43,00:01:23,00:30:11,00:00:42,00:15:36,00:57:33
Ron Epple,00:09:50,00:01:26,00:29:30,00:00:46,00:16:05,00:57:34
Franz Löschke,00:10:00,00:01:27,00:30:17,00:00:53,00:15:02,00:57:37
Renning Elischer,00:09:47,00:01:32,00:30:23,00:00:46,00:15:15,00:57:41
Jannik Hoffmann,00:10:08,00:01:24,00:30:18,00:00:41,00:15:14,00:57:43
Paul Wiesner,00:10:16,00:01:32,00:30:16,00:00:49,00:14:54,00:57:46
Harry Leleu,00:10:05,00:01:35,00:30:15,00:00:46,00:15:12,00:57:51
Monty Dixon,00:09:59,00:01:25,00:31:12,00:00:48,00:14:31,00:57:53
Miguel Risco Bermejo,00:10:13,00:01:26,00:30:59,00:00:48,00:14:30,00:57:54
Marcel Lehmberg,00:09:38,00:01:26,00:30:51,00:00:48,00:15:13,00:57:55
Richard Feuer,00:09:56,00:01:24,00:30:44,00:00:44,00:15:10,00:57:56
Lucas Cambresy,00:09:46,00:01:29,00:30:42,00:00:48,00:15:26,00:58:08
Theo Sonnenberg,00:10:18,00:01:26,00:31:05,00:00:44,00:14:38,00:58:10
Philipp Mack,00:09:41,00:01:32,00:30:37,00:00:46,00:15:38,00:58:11
