D5
2021-06-05
Tim Hellwig,0:07:58,0:01:35,0:26:30,0:00:44,0:13:54,00:50:43
Justus Nieschlag,0:08:07,0:01:36,0:26:19,0:00:46,0:14:01,00:50:51
Henry Christopher Graf,0:08:05,0:01:44,0:26:13,0:00:46,0:14:04,00:50:55
Lasse Nygaard Priester,0:08:32,0:01:35,0:26:28,0:00:44,0:13:45,00:51:06
Jannik Schaufler,0:08:35,0:01:40,0:26:21,0:00:44,0:13:54,00:51:15
Jonas Osterholt,0:08:07,0:01:40,0:26:14,0:01:00,0:14:16,00:51:19
Jonas Breinlinger,0:08:07,0:01:40,0:26:15,0:00:46,0:14:31,00:51:21
Simon Westermann,0:08:06,0:01:38,0:26:19,0:00:46,0:14:38,00:51:28
Benedikt Bettin,0:08:08,0:01:35,0:26:19,0:01:00,0:14:31,00:51:34
Dario Chitti,0:08:29,0:01:43,0:26:21,0:00:42,0:14:21,00:51:39
Valentin Wernz,0:08:14,0:01:32,0:26:16,0:00:46,0:14:50,00:51:40
Cedric Osterholt,0:08:07,0:01:42,0:26:13,0:01:00,0:14:38,00:51:41
Oscar Gladney Rundqvist,0:08:25,0:01:43,0:26:31,0:00:48,0:14:17,00:51:46
Simon Henseleit,0:08:16,0:01:32,0:26:13,0:00:46,0:14:59,00:51:48
Lasse Lührs,0:08:10,0:01:35,0:26:17,0:00:45,0:15:02,00:51:51
Nick Emde,0:08:29,0:01:46,0:26:24,0:00:46,0:14:28,00:51:53
Till Kramp,0:08:45,0:01:37,0:26:15,0:00:44,0:14:31,00:51:55
Valdemar Solok,0:08:19,0:01:43,0:26:36,0:00:48,0:14:29,00:51:56
Mika Noodt,0:08:27,0:01:40,0:26:27,0:00:43,0:14:37,00:51:56
Daniel Nou,0:08:34,0:01:44,0:26:20,0:00:49,0:14:28,00:51:58
Lukas Meckel,0:08:08,0:01:43,0:26:13,0:00:47,0:15:05,00:51:58
Jan Bader,0:08:28,0:01:37,0:26:31,0:00:46,0:14:35,00:51:59
Justus Töpper,0:08:25,0:01:47,0:26:24,0:00:43,0:14:39,00:51:59
Jan Diener,0:08:07,0:01:42,0:26:15,0:00:44,0:15:11,00:52:01
Janne Büttel,0:08:34,0:01:41,0:26:21,0:00:46,0:14:42,00:52:05
Johannes Vogel,0:08:19,0:01:42,0:26:47,0:00:49,0:14:30,00:52:09
David Breinlinger,0:08:36,0:01:42,0:26:16,0:00:45,0:14:49,00:52:10
Eric Diener,0:08:31,0:01:40,0:26:23,0:00:43,0:14:55,00:52:14
Martin Bader,0:08:28,0:01:42,0:26:37,0:00:50,0:14:39,00:52:17
Bence Lehmann,0:08:08,0:01:37,0:26:51,0:00:52,0:14:52,00:52:22
Remco Verbelen,0:08:35,0:01:40,0:26:24,0:00:01,0:15:43,00:52:25
Thomas Ott,0:08:21,0:01:45,0:26:31,0:00:51,0:14:59,00:52:28
Ben Fäh,0:08:13,0:01:42,0:26:43,0:00:45,0:15:03,00:52:29
Victor Goené,0:08:26,0:01:41,0:26:28,0:00:47,0:15:05,00:52:29
Magnus Männer,0:08:14,0:01:59,0:26:22,0:00:49,0:15:15,00:52:42
Rico Bogen,0:08:26,0:01:49,0:26:31,0:00:46,0:15:11,00:52:47
Duncan Frey,0:08:41,0:01:37,0:26:21,0:00:48,0:15:20,0:52:49
Lennart Sievers,0:08:04,0:01:46,0:26:46,0:00:57,0:15:18,00:52:54
Maximilian Betts,0:08:13,0:01:42,0:26:45,0:00:50,0:15:36,00:53:08
Maximilian Meckel,0:08:14,0:01:44,0:26:39,0:00:49,0:15:43,00:53:11
Maximilian Sperl,0:08:32,0:01:45,0:26:20,0:00:48,0:15:48,00:53:15
Jonathan Wayaffe,0:08:49,0:01:41,0:27:37,0:00:50,0:14:21,00:53:20
Scott McClymont,0:08:20,0:01:47,0:26:28,0:00:46,0:16:04,00:53:27
Alexander Kull,0:08:39,0:01:44,0:27:49,0:00:45,0:14:36,0:53:35
Aron Thimm,0:08:13,0:01:47,0:26:38,0:00:49,0:16:11,0:53:40
Vincent Lafleur,0:08:31,0:01:46,0:26:22,0:00:49,0:16:12,00:53:42
Luca Fahrenson,0:08:43,0:01:43,0:27:46,0:00:47,0:14:42,00:53:43
Jakob von Müller,0:08:04,0:01:43,0:26:16,0:00:49,0:16:51,00:53:45
Jonas Hoffmann,0:08:50,0:01:41,0:27:37,0:00:47,0:14:50,00:53:48
Wilhelm Hirsch,0:08:21,0:01:58,0:27:53,0:00:44,0:14:52,00:53:49
Timo Hackenjos,0:08:13,0:01:53,0:26:34,0:00:52,0:16:16,00:53:50
Gergely Kiss,0:08:06,0:01:42,0:27:47,0:00:49,0:15:25,00:53:51
Marcel Lehmberg,0:09:01,0:01:46,0:27:23,0:00:43,0:15:01,0:53:56
Simon Nolte,0:08:53,0:01:39,0:27:37,0:00:48,0:14:59,00:53:58
Nicolas Mann,0:08:46,0:01:43,0:27:46,0:00:49,0:14:53,00:53:59
Ruben Zepuntke,0:08:52,0:01:55,0:27:21,0:00:50,0:15:12,00:54:12
Marcel Bolbat,0:08:54,0:01:44,0:27:33,0:00:51,0:15:09,00:54:13
Silas Schmitt,0:08:24,0:01:50,0:28:00,0:00:50,0:15:08,00:54:14
Paul Weigand,0:08:52,0:01:45,0:27:37,0:00:48,0:15:10,00:54:14
Karl Diedrich,0:08:42,0:01:49,0:27:39,0:00:51,0:15:12,00:54:15
Dome Hornyak,0:08:08,0:01:55,0:27:34,0:00:48,0:16:01,00:54:28
Fabian Schönke,0:08:44,0:01:38,0:27:44,0:00:45,0:15:36,00:54:28
Nico Markgraf,0:08:47,0:01:54,0:27:32,0:00:47,0:15:34,00:54:36
Simon den Braber,0:08:55,0:01:47,0:27:29,0:00:48,0:15:45,00:54:45
Yannic Stollenwerk,0:08:59,0:01:44,0:27:31,0:00:52,0:15:39,00:54:47
Paul Weindl,0:08:34,0:01:41,0:27:22,0:00:51,0:16:21,0:54:50
Tom van Capellen,0:08:51,0:01:45,0:27:30,0:00:49,0:16:03,00:55:00
Mattia Weßling,0:08:45,0:01:44,0:27:38,0:00:48,0:16:07,00:55:05
Kai Dahlhaus,0:08:54,0:01:47,0:27:31,0:00:50,0:16:06,0:55:10
Valentin Hofmann,0:08:48,0:01:47,0:27:39,0:00:49,0:16:08,0:55:13
Lukas Mazur,0:08:45,0:01:43,0:27:42,0:00:52,0:16:11,00:55:16
Julius Laudagé,0:08:45,0:01:51,0:27:39,0:00:51,0:16:11,00:55:19
Gianluca Weßling,0:08:48,0:01:44,0:27:37,0:00:47,0:16:34,00:55:32
Arne Leiss,0:08:30,0:01:54,0:27:46,0:00:52,0:16:34,00:55:38
Ron Epple,0:08:50,0:01:50,0:27:34,0:00:50,0:16:42,00:55:48
Joey van 't Verlaat,0:08:42,0:01:44,0:27:45,0:00:46,0:16:51,00:55:50
Jorre van der Weyer,0:08:17,0:01:42,0:28:11,0:00:49,0:16:58,00:55:58
Malte Kreibich,0:08:19,0:01:42,0:27:35,0:00:50,0:17:32,00:56:00
Yannick Lieners,0:08:51,0:01:48,0:29:30,0:00:55,0:16:14,00:57:19
Luca Heerdt,0:09:01,0:01:51,0:30:28,0:00:49,0:15:41,00:57:52
Marc Trautmann,0:08:13,0:01:38,0:27:09,0:01:05,0:20:09,0:58:16
Dario Ernst,0:08:44,0:01:48,0:29:37,0:00:46,0:17:26,00:58:23
