D5
2022-06-12
Nina Heidemann,00:10:06,00:00:58,00:32:17,00:00:31,00:17:38,01:01:30
Kim Heidemann,00:10:12,00:01:00,00:32:10,00:00:34,00:19:23,01:03:19
Franziska Schildhauer,00:10:03,00:01:02,00:32:18,00:00:31,00:19:48,01:03:42
Nina Koller,00:10:13,00:01:14,00:31:59,00:00:43,00:20:01,01:04:10
Sabrina Fleig,00:10:10,00:01:02,00:32:15,00:00:35,00:20:16,01:04:18
Claudia Wipfler,00:11:26,00:01:23,00:31:58,00:00:44,00:18:47,01:04:18
Valerie Moser,00:10:58,00:01:13,00:32:32,00:00:38,00:19:03,01:04:24
Sabrina Roth,00:10:14,00:01:12,00:31:59,00:00:39,00:20:25,01:04:29
Theresa Lowinus,00:10:43,00:01:11,00:32:44,00:00:40,00:19:14,01:04:32
Annika Rahner,00:11:42,00:01:05,00:31:49,00:00:41,00:19:16,01:04:33
Kristin Buser,00:11:43,00:00:59,00:31:49,00:00:38,00:19:26,01:04:35
Raja Neumann,00:09:41,00:01:00,00:32:42,00:00:34,00:20:42,01:04:39
Lorena Erl,00:11:23,00:01:11,00:32:02,00:00:43,00:19:48,01:05:08
Kati Wiedenbrüg,00:11:04,00:01:06,00:32:28,00:00:36,00:19:54,01:05:09
Laura Hoffmann,00:11:14,00:01:05,00:32:15,00:00:38,00:19:58,01:05:09
Simone Kraft,00:10:59,00:01:06,00:32:33,00:00:36,00:19:59,01:05:13
Katharina Link,00:10:51,00:01:13,00:32:35,00:00:52,00:20:17,01:05:48
Charlotte Lang,00:10:48,00:01:38,00:32:22,00:01:03,00:20:01,01:05:53
Mattea Buggle,00:11:56,00:01:06,00:33:14,00:00:46,00:18:57,01:06:00
Anne Neidhardt,00:10:23,00:01:15,00:33:02,00:00:37,00:21:13,01:06:30
Sophia Hagenbuch,00:10:52,00:01:13,00:32:30,00:00:42,00:21:19,01:06:35
Christine Pietzner,00:11:30,00:01:09,00:31:57,00:00:47,00:21:18,01:06:41
Imke Jagau,00:11:56,00:01:09,00:33:15,00:00:41,00:19:51,01:06:52
Sabrina Klotz,00:10:38,00:01:12,00:32:47,00:00:43,00:21:51,01:07:11
Hannah Frickenhelm,00:10:34,00:01:05,00:32:54,00:00:40,00:22:12,01:07:25
Nina Breidenbicher,00:11:27,00:01:06,00:33:44,00:00:42,00:20:44,01:07:43
Sophia Hammann,00:11:58,00:01:08,00:33:10,00:00:39,00:21:06,01:08:02
Karin Jung,00:10:59,00:01:07,00:32:26,00:00:44,00:22:56,01:08:11
Zita Kastl,00:11:38,00:01:03,00:33:39,00:00:40,00:22:10,01:09:11
Hannah Yelin,00:11:39,00:01:10,00:33:30,00:00:43,00:22:09,01:09:11
Nathalie Krause,00:12:59,00:01:08,00:34:32,00:00:40,00:20:07,01:09:25
Hannah Hartlieb,00:11:18,00:01:07,00:33:58,00:00:44,00:23:02,01:10:08
Emma Müller Cerqueira,00:10:46,00:01:07,00:34:22,00:00:43,00:23:16,01:10:14
Sonja Arnold-Keifer,00:11:36,00:01:35,00:35:05,00:00:54,00:21:39,01:10:49
Lisa Appel,00:12:56,00:01:07,00:34:33,00:00:40,00:22:24,01:11:41
Tanja Willersinn,00:12:57,00:01:08,00:34:31,00:00:38,00:23:29,01:12:43
Tabea Schuh,00:11:44,00:01:14,00:35:25,00:00:47,00:23:57,01:13:06
Enya Frey,00:10:30,00:01:05,00:37:02,00:00:37,00:24:01,01:13:15
Anna Bader,00:11:21,00:01:15,00:38:38,00:00:44,00:22:01,01:13:59
Lara Tonak,00:10:50,00:01:12,00:36:13,00:00:33,00:00:00,00:00:00
Tami Stützel,00:10:39,00:01:10,00:00:00,00:00:00,00:00:00,00:00:00
Hannah Späth,00:11:08,00:01:05,00:00:00,00:00:00,00:00:00,00:00:00
