D5
2023-06-18
Simon De Cuyper,00:10:42,00:01:23,00:30:15,00:01:12,00:15:58,00:59:32
Jonathan Trebst,00:10:51,00:01:20,00:30:09,00:01:15,00:16:30,01:00:07
Kjell Arved Brandt,00:10:22,00:01:25,00:30:40,00:01:22,00:16:28,01:00:18
Philipp Dressel-Putz,00:10:12,00:01:23,00:30:46,00:01:22,00:16:45,01:00:30
Richard Feuer,00:10:29,00:01:22,00:30:32,00:01:23,00:16:58,01:00:46
Simon Wendlandt,00:10:38,00:01:25,00:30:30,00:01:33,00:16:44,01:00:51
Hannes Venter,00:10:20,00:01:25,00:30:39,00:01:30,00:17:00,01:00:55
Christoph Mattner,00:11:15,00:01:28,00:30:42,00:01:18,00:16:18,01:01:03
Simon Nolte,00:10:51,00:01:22,00:30:10,00:01:29,00:17:10,01:01:05
Magnus Lynge Larsen,00:10:20,00:01:22,00:30:48,00:01:27,00:17:10,01:01:07
Peter Lehmann,00:10:56,00:01:22,00:30:00,00:01:19,00:17:32,01:01:11
Jannes Wiethe,00:11:04,00:01:30,00:29:48,00:01:31,00:17:19,01:01:14
Thomas Nielsen,00:10:16,00:01:26,00:30:44,00:01:23,00:17:26,01:01:16
Felix Günther,00:11:13,00:01:24,00:29:50,00:01:32,00:17:17,01:01:18
Callum Stedman,00:10:09,00:01:30,00:30:48,00:01:22,00:17:40,01:01:31
Michael Wegricht,00:10:26,00:01:32,00:30:27,00:01:31,00:17:36,01:01:34
Jan Fuckerirer,00:10:53,00:01:24,00:30:12,00:01:23,00:17:43,01:01:37
Max Schröter,00:11:29,00:01:17,00:30:46,00:01:26,00:16:39,01:01:39
Felix Büchel,00:11:21,00:01:31,00:30:38,00:01:26,00:16:45,01:01:43
Kenneth Warmuth,00:10:56,00:01:25,00:29:58,00:01:29,00:17:56,01:01:47
Aaron Hüter,00:10:39,00:01:16,00:30:27,00:01:23,00:18:01,01:01:49
Leon Maximilian Vollstedt,00:10:10,00:01:29,00:30:49,00:01:27,00:18:00,01:01:56
Morten Schmidt,00:10:21,00:01:25,00:30:40,00:01:25,00:18:06,01:01:58
Jan Baumgarten,00:11:00,00:01:31,00:29:55,00:01:27,00:18:14,01:02:09
Hauke Horstmann,00:11:29,00:01:23,00:30:31,00:01:19,00:17:26,01:02:10
Joshua Felten,00:10:39,00:01:23,00:30:22,00:01:24,00:18:25,01:02:15
