D5
2022-08-07
Lena Meißner,0:06:56,0:01:12,0:18:21,0:00:29,0:11:41,0:38:39
Natalie Van Coevorden,0:06:40,0:01:10,0:18:17,0:00:29,0:11:58,0:38:56
Lisa Tertsch,0:06:57,0:01:08,0:19:15,0:00:28,0:11:21,0:39:31
Audrey Merle,0:06:56,0:01:11,0:19:15,0:00:28,0:11:22,0:39:34
Tanja Neubert,0:07:14,0:01:18,0:19:02,0:00:27,0:11:47,0:39:57
Eva Daniëls,0:07:20,0:01:10,0:18:52,0:00:30,0:11:39,0:40:21
Tilda Månsson,0:07:17,0:01:10,0:19:00,0:00:31,0:11:47,0:40:23
Julia Bröcker,0:07:22,0:01:09,0:19:01,0:00:29,0:12:03,0:40:37
Bethany Cook,0:07:14,0:01:09,0:19:03,0:00:28,0:12:12,0:40:47
Finja Schierl,0:07:16,0:01:08,0:18:45,0:00:30,0:12:17,0:41:00
Robin Dreyling,0:07:13,0:01:10,0:18:40,0:00:29,0:12:28,0:41:10
Franca Henseleit,0:07:05,0:01:06,0:18:38,0:00:29,0:12:30,0:41:10
Zsófia Kovács,0:06:52,0:01:10,0:19:05,0:00:34,0:11:51,0:41:11
Katharina Möller,0:07:17,0:01:07,0:18:41,0:00:33,0:12:31,0:41:16
Greta Groten,0:06:54,0:01:09,0:18:36,0:00:28,0:13:06,0:41:48
Lina Völker,0:07:09,0:01:12,0:18:38,0:00:29,0:13:11,0:41:52
Anna Busse,0:07:21,0:01:18,0:19:24,0:00:32,0:11:40,0:41:55
Dana Prikrylova,0:07:15,0:01:11,0:18:57,0:00:32,0:12:41,0:41:58
Lena Götzenberger,0:07:14,0:01:13,0:18:47,0:00:33,0:12:43,0:41:59
Josephine Seerig,0:07:01,0:01:12,0:18:46,0:00:31,0:12:45,0:42:00
Felipa Herrmann,0:07:09,0:01:08,0:18:53,0:00:31,0:12:47,0:42:00
Pia Wolf,0:06:52,0:01:15,0:19:02,0:00:34,0:12:40,0:42:00
Lara Thekla Ungewickell,0:07:12,0:01:11,0:18:59,0:00:35,0:12:56,0:42:15
Céline Kaiser,0:07:11,0:01:14,0:20:06,0:00:33,0:11:13,0:42:19
Lucie Kammer,0:07:10,0:01:08,0:18:47,0:00:31,0:13:11,0:42:24
Ursula Trützschler,0:07:29,0:01:11,0:19:09,0:00:31,0:12:28,0:42:38
Marit Van Den Berg,0:07:26,0:01:12,0:19:15,0:00:29,0:12:40,0:42:48
Amelie Hanf,0:07:25,0:01:14,0:19:16,0:00:34,0:12:43,0:42:56
Lea Devantier,0:07:25,0:01:13,0:19:13,0:00:32,0:13:01,0:43:12
Isabel Altendorfer,0:07:23,0:01:14,0:19:08,0:00:30,0:13:07,0:43:12
Alina Würth,0:07:18,0:01:13,0:19:10,0:00:35,0:12:56,0:43:12
Sophie Gießmann,0:07:20,0:01:13,0:19:08,0:00:28,0:13:26,0:43:33
Joanna Wozniak,0:07:50,0:01:12,0:19:56,0:00:34,0:12:02,0:43:36
Laura Jansen,0:07:45,0:01:13,0:20:15,0:00:34,0:12:14,0:43:48
Lara Atkinson,0:07:18,0:01:17,0:20:05,0:00:36,0:12:55,0:44:32
Emily Lucy Köpper,0:07:42,0:01:14,0:20:15,0:00:29,0:13:13,0:44:39
Vera Nickel,0:07:45,0:01:19,0:19:48,0:00:33,0:12:37,0:44:42
Maria Paulig,0:08:15,0:01:15,0:19:38,0:00:32,0:12:47,0:44:45
Antonia Koch,0:08:02,0:01:17,0:19:24,0:00:32,0:13:17,0:44:46
Kim van 't Verlaat,0:07:46,0:01:13,0:19:46,0:00:29,0:13:58,0:44:58
Jara Brandenberg,0:07:43,0:01:16,0:19:27,0:00:31,0:13:53,0:45:18
Rike Kubillus,0:07:51,0:01:15,0:19:44,0:00:35,0:13:58,0:45:28
Lina Gerlach,0:07:55,0:01:17,0:19:49,0:00:34,0:13:31,0:45:38
Antonia Gardeike,0:07:42,0:01:19,0:20:19,0:00:42,0:13:39,0:45:56
Nidia Ruiz Porath,0:07:24,0:01:18,0:19:30,0:00:35,0:14:42,0:46:13
Jule Resselberger,0:07:34,0:01:14,0:19:49,0:00:35,0:14:29,0:46:38
Johanna Wachendorff,0:07:58,0:01:18,0:20:08,0:00:33,0:13:57,0:46:50
Sandrine Benz,0:08:00,0:01:20,0:20:08,0:00:35,0:14:17,0:47:13
Lea van Beek,0:08:13,0:01:19,0:19:46,0:00:34,0:14:21,0:47:39
Verena Repp,0:08:12,0:01:20,0:20:48,0:00:34,0:13:36,0:47:57
Clara Fuchs,0:08:06,0:01:18,0:20:49,0:00:35,0:14:28,0:48:49
Nadine Klive,0:07:50,0:01:22,0:21:06,0:00:33,0:15:01,0:49:13
