D5
2022-07-10
Lea Stratmann,00:10:28,00:01:22,00:29:32,00:00:41,00:17:57,01:00:00
O'nel Venter,00:10:17,00:01:17,00:29:50,00:00:37,00:18:06,01:00:07
Emma Thiele,00:10:34,00:01:16,00:29:33,00:00:39,00:18:33,01:00:36
Sophie Gießmann,00:10:35,00:01:14,00:29:34,00:00:40,00:18:38,01:00:42
Emily Lucy Köpper,00:11:09,00:01:16,00:29:37,00:00:37,00:18:12,01:00:50
Carolin Meyer,00:11:09,00:01:20,00:29:35,00:00:47,00:18:02,01:00:53
Nina Rosenbladt,00:10:30,00:01:18,00:29:38,00:00:39,00:18:55,01:01:00
Friederike Willoughby,00:10:36,00:01:21,00:29:30,00:00:50,00:18:44,01:01:00
Andrea Madelena Lang Bolvig,00:11:09,00:01:28,00:29:35,00:00:45,00:18:08,01:01:05
Jenny Jendryschik,00:11:15,00:01:25,00:29:27,00:00:45,00:18:15,01:01:07
Ronja Steiling,00:10:29,00:01:20,00:29:32,00:00:39,00:19:17,01:01:17
Carlota Hellbusch,00:11:02,00:01:21,00:29:44,00:00:43,00:18:26,01:01:17
Sophie Schumann,00:10:34,00:01:18,00:29:33,00:00:38,00:19:52,01:01:54
Johanna Wachendorff,00:11:13,00:01:23,00:29:28,00:00:45,00:19:06,01:01:56
Finja Loges,00:10:32,00:01:17,00:29:37,00:00:44,00:19:52,01:02:02
Marie Miroslaw,00:11:05,00:01:20,00:29:44,00:00:46,00:19:10,01:02:04
Celina Kaarup,00:11:13,00:01:18,00:29:34,00:00:42,00:19:23,01:02:10
Charlotte Friedrich,00:12:16,00:01:27,00:30:35,00:00:46,00:18:10,01:03:14
Kathia Spiegeler,00:10:38,00:01:23,00:30:05,00:00:46,00:20:34,01:03:26
Olivia Peel,00:12:17,00:01:22,00:30:39,00:00:46,00:18:48,01:03:53
Marie Elisabeth Alert,00:11:47,00:01:28,00:31:03,00:00:48,00:20:44,01:05:49
Stina Malin Mick,00:12:19,00:01:30,00:30:32,00:00:52,00:21:08,01:06:21
Nora Schulte,00:12:22,00:01:24,00:32:08,00:00:49,00:20:31,01:07:14
Janina Romanowski,00:14:11,00:01:29,00:31:09,00:00:50,00:19:41,01:07:20
Wiebke Krone,00:14:05,00:01:36,00:31:09,00:00:49,00:20:55,01:08:33
Lena Schott,00:12:18,00:01:30,00:30:31,00:00:53,00:23:48,01:09:00
Julia Hey,00:11:48,00:01:26,00:32:44,00:00:47,00:22:23,01:09:08
Kimberly Miller,00:14:20,00:01:38,00:30:55,00:00:52,00:21:57,01:09:41
Inga Hintze,00:15:25,00:01:27,00:33:06,00:00:53,00:20:23,01:11:15
Anne Christin Ruff,00:13:34,00:01:29,00:34:56,00:00:48,00:21:42,01:12:29
