D5
2023-08-07
Lisa Tertsch,00:09:09,00:01:17,00:28:01,00:00:25,00:17:16,00:56:10
Selina Klamt,00:09:18,00:01:23,00:27:46,00:00:23,00:17:21,00:56:13
Marlene Gomez-Göggel,00:09:15,00:01:21,00:27:50,00:00:26,00:17:23,00:56:17
Annika Koch,00:09:12,00:01:18,00:27:56,00:00:26,00:17:35,00:56:29
Tanja Neubert,00:09:13,00:01:23,00:27:50,00:00:24,00:17:47,00:56:39
Anabel Knoll,00:09:04,00:01:25,00:27:58,00:00:23,00:18:01,00:56:54
Lena Meißner,00:09:05,00:01:21,00:28:00,00:00:23,00:18:11,00:57:02
Caroline Pohle,00:09:16,00:01:26,00:27:45,00:00:25,00:18:57,00:57:52
Anne Holm,00:09:10,00:01:23,00:27:52,00:00:25,00:20:08,00:59:00
Tereza Zimovjanova,00:09:55,00:01:19,00:29:44,00:00:23,00:17:54,00:59:17
Anna Busse,00:10:04,00:01:31,00:29:48,00:00:25,00:17:54,00:59:44
Julia Bröcker,00:10:05,00:01:24,00:29:29,00:00:25,00:18:24,00:59:49
Daryna Moskalenko,00:10:03,00:01:29,00:29:29,00:00:24,00:19:05,01:00:31
Maite Küstner,00:10:03,00:01:30,00:29:28,00:00:25,00:19:08,01:00:35
Sabrina Fleig,00:10:05,00:01:30,00:29:46,00:00:28,00:18:43,01:00:35
Stephanie Weiß,00:10:03,00:01:34,00:29:42,00:00:31,00:18:49,01:00:41
Kati Krüger,00:09:59,00:01:26,00:29:36,00:00:43,00:19:01,01:00:47
Josephine Seerig,00:10:00,00:01:28,00:29:35,00:00:31,00:19:19,01:00:55
Pia Wolf,00:09:20,00:01:40,00:30:00,00:00:28,00:19:25,01:00:56
Leann Naima Dietzel,00:10:04,00:01:26,00:29:30,00:00:27,00:19:28,01:00:56
Helen Scheffold,00:09:48,00:01:30,00:29:46,00:00:23,00:19:39,01:01:07
Greta Groten,00:09:25,00:01:29,00:30:06,00:00:25,00:19:44,01:01:12
Jenny Jendryschik,00:10:17,00:01:32,00:29:30,00:00:28,00:19:26,01:01:14
Tina Christmann,00:10:01,00:01:33,00:29:47,00:00:30,00:19:22,01:01:15
Lina Völker,00:10:00,00:01:32,00:29:25,00:00:26,00:19:55,01:01:19
Thalia Stach,00:10:01,00:01:24,00:29:36,00:00:27,00:19:51,01:01:21
Lea Cagol,00:10:09,00:01:27,00:29:42,00:00:27,00:19:37,01:01:24
Lara Thekla Ungewickell,00:09:35,00:01:26,00:29:59,00:00:27,00:19:57,01:01:25
Antonia Koch,00:10:35,00:01:23,00:29:21,00:00:25,00:19:42,01:01:29
Kathrin Halter,00:10:18,00:01:26,00:29:38,00:00:26,00:19:49,01:01:39
Lucie Kammer,00:10:09,00:01:28,00:29:44,00:00:24,00:19:56,01:01:43
Eva Daniëls,00:09:27,00:01:26,00:30:06,00:00:25,00:20:19,01:01:46
Ronja Steiling,00:10:00,00:01:31,00:29:27,00:00:28,00:20:34,01:02:01
Finja Herrmann,00:10:12,00:01:27,00:29:42,00:00:28,00:20:28,01:02:18
Finja Loges,00:09:33,00:01:32,00:29:56,00:00:27,00:20:49,01:02:20
Amelie Hanf,00:10:09,00:01:32,00:29:39,00:00:27,00:20:50,01:02:39
Claudia Wipfler,00:10:57,00:01:38,00:30:24,00:00:32,00:19:11,01:02:44
Dana Prikrylova,00:09:23,00:01:27,00:30:10,00:00:31,00:21:23,01:02:56
Valerie Moser,00:10:52,00:01:36,00:30:31,00:00:30,00:19:27,01:02:58
Lina Gerlach,00:10:53,00:01:32,00:30:48,00:00:26,00:19:25,01:03:06
Lara Atkinson,00:09:23,00:01:33,00:32:25,00:00:32,00:19:28,01:03:23
Niki Buggenhout,00:09:30,00:01:38,00:29:56,00:00:29,00:22:03,01:03:38
Sophie Schumann,00:10:03,00:01:33,00:29:43,00:00:25,00:21:55,01:03:41
Isabel Sterr,00:10:11,00:01:39,00:31:25,00:00:27,00:19:59,01:03:44
Jara Brandenberg,00:10:11,00:01:31,00:29:35,00:00:24,00:22:03,01:03:46
Emily Lucy Köpper,00:10:34,00:01:25,00:31:12,00:00:25,00:20:21,01:03:59
Karina Kornmüller,00:10:10,00:01:40,00:31:26,00:00:27,00:20:22,01:04:07
Alina Weber,00:10:33,00:01:34,00:31:11,00:00:26,00:20:28,01:04:15
Jule Resselberger,00:10:14,00:01:34,00:29:30,00:00:29,00:23:35,01:05:23
Lena Miller,00:10:50,00:01:29,00:30:54,00:00:28,00:21:52,01:05:34
Pauline Feußner,00:10:10,00:01:43,00:31:27,00:00:31,00:22:11,01:06:03
Theresa Moser,00:10:01,00:01:41,00:31:36,00:00:30,00:22:17,01:06:07
Charlotte Uherek,00:10:01,00:01:45,00:31:29,00:00:28,00:22:27,01:06:11
Theresa Timmerevers,00:10:50,00:01:37,00:30:49,00:00:31,00:22:44,01:06:34
Anne Neidhardt,00:09:32,00:01:47,00:31:58,00:00:31,00:23:07,01:06:57
Valesca Zoe Wippich,00:10:33,00:01:33,00:31:13,00:00:28,00:23:45,01:07:35
Emma Fahrenson,00:10:12,00:01:34,00:31:32,00:00:27,00:24:44,01:08:32
