D5
2022-06-25
Laura Lindemann,00:10:27,00:01:33,00:28:46,00:00:20,00:15:55,00:57:03
Annika Koch,00:10:30,00:01:32,00:28:43,00:00:22,00:16:04,00:57:12
Nina Eim,00:10:27,00:01:32,00:28:48,00:00:19,00:16:26,00:57:33
Lisa Tertsch,00:10:24,00:01:27,00:28:56,00:00:19,00:16:31,00:57:39
Anabel Knoll,00:10:22,00:01:30,00:28:54,00:00:20,00:16:35,00:57:43
Selina Klamt,00:10:28,00:01:33,00:28:46,00:00:20,00:16:54,00:58:02
Lena Meißner,00:10:28,00:01:32,00:28:46,00:00:19,00:17:19,00:58:25
Franca Henseleit,00:10:29,00:01:32,00:28:46,00:00:19,00:17:44,00:58:52
Bianca Bogen,00:10:27,00:01:31,00:28:47,00:00:21,00:17:51,00:58:59
Tanja Neubert,00:10:52,00:01:38,00:29:33,00:00:22,00:16:50,00:59:16
Anna Busse,00:10:52,00:01:38,00:29:46,00:00:21,00:16:43,00:59:22
Julia Hauser,00:11:00,00:01:41,00:29:23,00:00:26,00:16:56,00:59:28
Anja Weber,00:10:21,00:01:37,00:28:47,00:00:22,00:18:28,00:59:37
Annabel Morton,00:10:55,00:01:37,00:29:35,00:00:23,00:17:29,01:00:00
Caroline Pohle,00:10:31,00:01:32,00:29:59,00:00:21,00:17:40,01:00:05
Dana Prikrylova,00:10:31,00:01:33,00:28:45,00:00:20,00:19:02,01:00:13
Heidi Juránková,00:10:49,00:01:38,00:29:37,00:00:21,00:17:48,01:00:14
Finja Schierl,00:10:33,00:01:28,00:30:02,00:00:24,00:17:47,01:00:16
Hannah Stegmaier,00:11:00,00:01:35,00:29:34,00:00:21,00:17:51,01:00:23
Ursula Trützschler,00:10:57,00:01:33,00:29:37,00:00:22,00:18:01,01:00:42
Katharina Möller,00:10:31,00:01:30,00:30:02,00:00:29,00:18:14,01:00:49
Maite Küstner,00:10:52,00:01:41,00:29:33,00:00:19,00:18:26,01:00:54
Céline Kaiser,00:11:19,00:01:41,00:30:58,00:00:27,00:16:28,01:00:55
Greta Groten,00:10:57,00:01:36,00:29:31,00:00:24,00:18:35,01:01:05
Pia Wolf,00:10:34,00:01:47,00:29:46,00:00:22,00:18:40,01:01:11
Lara Thekla Ungewickell,00:10:36,00:01:30,00:29:57,00:00:30,00:18:41,01:01:16
Lucie Kammer,00:10:59,00:01:32,00:29:34,00:00:23,00:19:04,01:01:35
Franka Rust,00:11:12,00:01:32,00:31:11,00:00:24,00:17:25,01:01:47
Kathrin Halter,00:10:58,00:01:37,00:29:33,00:00:25,00:19:29,01:02:04
Leana Bissig,00:11:17,00:01:38,00:31:10,00:00:24,00:17:47,01:02:18
Margareta Bicanova,00:11:11,00:01:32,00:31:16,00:00:29,00:17:53,01:02:22
Vera Nickel,00:11:52,00:01:52,00:30:20,00:00:23,00:18:11,01:02:40
Marike Schneehagen,00:11:36,00:01:40,00:30:46,00:00:24,00:18:14,01:02:43
Amelie Hanf,00:11:26,00:01:45,00:30:46,00:00:23,00:18:35,01:02:57
Helen Scheffold,00:10:59,00:01:46,00:31:18,00:00:23,00:18:32,01:03:00
Antonia Koch,00:11:54,00:01:49,00:30:18,00:00:26,00:18:44,01:03:13
Stephanie Weiß,00:11:32,00:01:44,00:30:44,00:00:25,00:18:53,01:03:21
Emma Thiele,00:11:15,00:01:38,00:31:08,00:00:24,00:19:19,01:03:46
Sophie Gießmann,00:11:15,00:01:39,00:31:05,00:00:24,00:19:25,01:03:51
Karina Kornmüller,00:11:06,00:01:51,00:31:08,00:00:24,00:19:22,01:03:52
Niki Buggenhout,00:10:36,00:01:54,00:29:38,00:00:23,00:21:21,01:03:53
Nina Kurth,00:11:57,00:01:46,00:30:22,00:00:23,00:19:39,01:04:09
Pauline Feußner,00:10:56,00:01:42,00:31:22,00:00:25,00:19:49,01:04:16
Lea Cagol,00:11:33,00:01:44,00:30:44,00:00:26,00:20:04,01:04:33
Sofia Warter Rubio,00:12:05,00:01:42,00:30:15,00:00:30,00:20:02,01:04:36
Sarah Karollus,00:11:59,00:01:47,00:30:14,00:00:26,00:20:10,01:04:38
Jara Brandenberg,00:11:21,00:01:43,00:30:52,00:00:23,00:20:18,01:04:39
Lea van Beek,00:11:56,00:01:49,00:30:20,00:00:26,00:20:11,01:04:43
Sophie Schumann,00:11:06,00:01:46,00:31:08,00:00:21,00:21:43,01:06:06
