D5
2023-07-08
Lasse Nygaard Priester,00:08:26,00:01:18,00:25:57,00:00:23,00:14:52,00:50:58
Tim Hellwig,00:08:14,00:01:20,00:26:05,00:00:22,00:15:11,00:51:15
Simon Henseleit,00:08:33,00:01:24,00:25:42,00:00:24,00:15:16,00:51:21
Lasse Lührs,00:08:35,00:01:25,00:25:41,00:00:21,00:15:31,00:51:34
Valentin Wernz,00:08:23,00:01:15,00:26:04,00:00:28,00:15:30,00:51:43
Gjalt Panjer,00:08:41,00:01:21,00:25:43,00:00:25,00:15:33,00:51:44
Johannes Vogel,00:08:38,00:01:23,00:25:43,00:00:23,00:15:37,00:51:46
Henry Christopher Graf,00:08:31,00:01:31,00:25:39,00:00:24,00:15:43,00:51:49
Jonas Schomburg,00:08:26,00:01:22,00:25:53,00:00:26,00:15:43,00:51:52
Eric Diener,00:08:33,00:01:25,00:25:45,00:00:23,00:15:50,00:51:59
Chris Ziehmer,00:08:32,00:01:16,00:25:54,00:00:23,00:16:06,00:52:13
Till Kramp,00:08:42,00:01:20,00:25:41,00:00:21,00:16:17,00:52:23
Benedikt Bettin,00:08:35,00:01:21,00:25:46,00:00:22,00:16:25,00:52:31
Stefan Zachäus,00:08:34,00:01:20,00:25:48,00:00:22,00:16:31,00:52:39
Thomas Guilmot,00:08:43,00:01:25,00:26:12,00:00:24,00:15:55,00:52:41
Rico Bogen,00:08:31,00:01:26,00:25:46,00:00:24,00:16:37,00:52:47
Nick Emde,00:08:54,00:01:25,00:26:03,00:00:24,00:16:13,00:53:01
Justus Töpper,00:08:36,00:01:29,00:26:13,00:00:23,00:16:27,00:53:09
Peter Denteneer,00:08:33,00:01:29,00:26:18,00:00:24,00:16:27,00:53:13
Jonas Osterholt,00:08:30,00:01:20,00:26:29,00:00:24,00:16:31,00:53:18
Fabian Schönke,00:08:48,00:01:24,00:26:01,00:00:26,00:16:42,00:53:23
Samuel Linsenmeier,00:08:47,00:01:24,00:26:07,00:00:24,00:16:42,00:53:27
