D5
2022-07-17
Imke Bosch,00:10:33,00:01:08,00:32:02,0:00:35,00:19:19,01:03:37
Jenny Jendryschik,00:10:49,00:01:17,00:31:12,0:00:44,00:19:42,01:03:44
Emma Thiele,00:10:25,00:01:08,00:32:10,0:00:38,00:20:20,01:04:41
Friederike Willoughby,00:10:30,00:01:13,00:32:04,0:00:40,00:20:22,01:04:50
Carolin Meyer,00:11:12,00:01:43,00:00:00,00:00:00,00:00:00,01:04:54
Lea Devantier,00:10:43,00:01:08,00:00:00,00:00:00,00:00:00,01:05:08
Nina Rosenbladt,00:10:31,00:01:09,00:32:05,0:00:41,00:21:12,01:05:39
Finja Loges,00:10:14,00:01:18,00:32:15,0:00:39,00:21:14,01:05:40
Larissa Jasper,00:10:54,00:01:11,00:32:59,0:00:44,00:19:57,01:05:46
Carlota Hellbusch,00:10:51,00:01:11,00:33:05,0:00:41,00:20:22,01:06:10
Marie Miroslaw,00:10:56,00:01:14,00:32:55,0:00:42,00:20:31,01:06:19
Clara Sophie Nitschmann,00:10:51,00:01:12,00:33:02,0:00:47,00:20:50,01:06:43
Christine Becker,00:11:17,00:01:15,00:32:32,0:00:44,00:20:58,01:06:47
Stefanie Walter,00:10:57,00:01:12,00:32:57,0:00:42,00:21:16,01:07:04
Kim-Julie Wolfram,00:10:59,00:01:10,00:32:56,0:00:41,00:21:43,01:07:30
Johanna Wachendorff,00:11:20,00:01:14,00:33:35,0:00:40,00:20:55,01:07:44
Charlotte Friedrich,00:12:19,00:01:21,00:34:19,0:00:41,00:20:02,01:08:42
Jana Blümel,00:11:01,00:01:25,00:32:40,0:00:42,00:23:07,01:08:55
Stina Malin Mick,00:11:41,00:01:21,00:33:06,0:00:52,00:22:08,01:09:09
Janina Romanowski,00:13:04,00:01:26,00:32:30,0:00:50,00:21:21,01:09:12
Julia Hey,00:10:55,00:01:18,00:32:53,0:00:39,00:23:40,01:09:26
Olivia Peel,00:11:53,00:01:20,00:36:30,0:00:37,00:19:43,01:10:04
Carmen Otten,00:14:45,00:01:08,00:33:47,0:00:37,00:20:26,01:10:44
Lena Hötzschold,00:10:47,00:01:23,00:00:00,00:00:00,00:00:00,01:11:06
Kimberly Miller,00:13:11,00:01:26,00:32:22,00:01:03,00:23:03,01:11:06
Marie Elisabeth Alert,00:11:17,00:01:41,00:35:01,0:00:48,00:22:48,01:11:36
Arina Valaeva,00:11:05,00:01:23,00:37:13,0:00:42,00:21:25,01:11:48
Jana Löhden,00:12:01,00:01:26,00:33:33,0:00:49,00:24:17,01:12:06
Lena Schott,00:11:47,00:01:18,00:33:07,0:00:46,00:25:36,01:12:35
Mori Finder,00:10:48,00:01:15,00:36:19,0:00:43,00:23:41,01:12:47
Wiebke Krone,00:13:03,00:01:13,00:35:23,0:00:44,00:22:31,01:12:54
Josephin Betche,00:13:25,00:01:19,00:36:25,0:00:43,00:22:48,01:14:40
