D5
2022-05-28
Laura Lindemann,00:09:32,00:00:38,00:27:20,00:00:38,00:15:34,00:53:42
Anabel Knoll,00:09:36,00:00:37,00:27:16,00:00:37,00:15:50,00:53:56
Rachel Klamer,00:09:40,00:00:41,00:27:11,00:00:41,00:16:05,00:54:18
Marlene Gomez-Göggel,00:09:39,00:00:38,00:27:16,00:00:39,00:16:19,00:54:31
Olivia Mathias,00:09:35,00:00:37,00:27:17,00:00:38,00:16:28,00:54:35
Franca Henseleit,00:09:37,00:00:37,00:27:17,00:00:38,00:17:16,00:55:25
Bianca Bogen,00:09:36,00:00:38,00:27:17,00:00:38,00:17:23,00:55:32
Jolanda Annen,00:09:48,00:00:39,00:28:39,00:00:39,00:16:04,00:55:49
Kate Waugh,00:09:48,00:00:38,00:28:39,00:00:38,00:16:36,00:56:19
Margot Garabedian,00:09:45,00:00:38,00:28:42,00:00:39,00:16:45,00:56:29
Anna Busse,00:10:07,00:00:41,00:28:56,00:00:42,00:16:08,00:56:34
Issy Morris,00:10:03,00:00:42,00:28:54,00:00:42,00:16:16,00:56:37
Robin Dreyling,00:09:48,00:00:40,00:28:38,00:00:41,00:17:18,00:57:05
Caroline Pohle,00:09:51,00:00:42,00:28:47,00:00:43,00:17:11,00:57:14
Lara Atkinson,00:09:49,00:00:40,00:28:53,00:00:41,00:17:18,00:57:21
Helen Scheffold,00:09:51,00:00:42,00:28:49,00:00:42,00:17:23,00:57:27
Leana Bissig,00:10:22,00:00:44,00:28:40,00:00:44,00:17:02,00:57:32
Ursula Trützschler,00:10:04,00:00:38,00:28:58,00:00:38,00:17:16,00:57:34
Lucie Kammer,00:09:52,00:00:38,00:28:39,00:00:39,00:17:59,00:57:47
Maite Küstner,00:09:54,00:00:40,00:28:45,00:00:41,00:17:54,00:57:54
Greta Groten,00:09:53,00:00:39,00:28:34,00:00:40,00:18:08,00:57:54
Céline Kaiser,00:10:31,00:00:43,00:29:42,00:00:44,00:16:15,00:57:55
Mirjam Huber,00:09:44,00:00:39,00:28:44,00:00:40,00:18:09,00:57:56
Heidi Juránková,00:09:58,00:00:38,00:28:46,00:00:39,00:17:58,00:57:59
Lina Völker,00:09:47,00:00:38,00:28:40,00:00:38,00:18:17,00:58:00
Lara Thekla Ungewickell,00:10:25,00:00:43,00:28:31,00:00:44,00:17:45,00:58:08
Marit Van Den Berg,00:10:31,00:00:39,00:28:29,00:00:39,00:18:17,00:58:35
Katharina Möller,00:09:58,00:00:39,00:28:46,00:00:39,00:18:35,00:58:37
Stephanie Weiß,00:10:26,00:00:43,00:28:33,00:00:43,00:18:15,00:58:40
Marike Schneehagen,00:11:06,00:00:43,00:29:08,00:00:44,00:17:04,00:58:45
Pauline Feußner,00:09:42,00:00:43,00:28:42,00:00:43,00:18:56,00:58:46
Joanna Wozniak,00:10:31,00:00:45,00:29:48,00:00:45,00:16:58,00:58:47
Hannah Stegmaier,00:10:35,00:00:42,00:29:43,00:00:43,00:17:10,00:58:53
Kathrin Halter,00:10:23,00:00:41,00:28:37,00:00:42,00:18:34,00:58:57
Niki Buggenhout,00:09:43,00:00:42,00:28:41,00:00:43,00:19:16,00:59:05
Ronja Steiling,00:10:01,00:00:42,00:28:59,00:00:43,00:18:43,00:59:08
Verena Repp,00:11:04,00:00:44,00:29:11,00:00:45,00:17:37,00:59:21
Vera Nickel,00:10:59,00:00:44,00:29:13,00:00:45,00:17:51,00:59:32
Sophie Schumann,00:10:21,00:00:38,00:28:40,00:00:39,00:19:22,00:59:40
Antonia Koch,00:11:03,00:00:42,00:29:10,00:00:43,00:18:11,00:59:49
Jana Uderstadt,00:10:59,00:00:41,00:29:14,00:00:42,00:18:16,00:59:52
Jule Resselberger,00:10:30,00:00:41,00:28:29,00:00:41,00:20:12,01:00:33
Emma Langer,00:10:58,00:00:41,00:29:18,00:00:42,00:18:57,01:00:36
Sarah Karollus,00:11:05,00:00:44,00:29:11,00:00:44,00:18:59,01:00:43
Karina Kornmüller,00:10:24,00:00:44,00:29:47,00:00:45,00:19:08,01:00:48
Nadine Klive,00:10:30,00:00:42,00:29:41,00:00:43,00:19:18,01:00:54
Jara Brandenberg,00:10:34,00:00:43,00:29:39,00:00:43,00:19:26,01:01:05
Sandrine Benz,00:11:01,00:00:45,00:29:14,00:00:45,00:19:34,01:01:19
Rike Kubillus,00:10:56,00:00:40,00:29:18,00:00:40,00:19:54,01:01:28
Valesca Zoe Wippich,00:10:54,00:00:46,00:29:23,00:00:47,00:20:06,01:01:56
Antonia Gardeike,00:10:28,00:00:45,00:29:45,00:00:46,00:20:35,01:02:19
Anna Heyder,00:11:24,00:00:43,00:30:48,00:00:43,00:19:27,01:03:05
Franziska Neck,00:10:50,00:00:41,00:31:26,00:00:42,00:19:50,01:03:29
Lea Brand,00:10:57,00:00:44,00:31:15,00:00:45,00:21:24,01:05:05
Lina Schuchmann,00:11:53,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Anna Zeiler,00:11:54,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
