D5
2021-09-04
Alexander Kull,00:05:31,00:00:00,00:30:49,00:00:00,00:14:40,00:50:59
Thomas Cremers,00:05:29,00:00:00,00:30:51,00:00:00,00:15:03,00:51:21
Marcel Lehmberg,00:05:27,00:00:00,00:30:47,00:00:00,00:15:12,00:51:25
Max Schröter,00:05:28,00:00:00,00:31:01,00:00:00,00:15:02,00:51:30
Philipp Dressel-Putz,00:05:29,00:00:00,00:30:48,00:00:00,00:15:21,00:51:38
John Heiland,00:05:30,00:00:00,00:30:52,00:00:00,00:15:21,00:51:42
Theo Sonnenberg,00:05:31,00:00:00,00:30:47,00:00:00,00:15:26,00:51:43
Paul Wiesner,00:05:39,00:00:00,00:30:52,00:00:00,00:15:16,00:51:45
Albert Frydensberg,00:05:32,00:00:00,00:30:53,00:00:00,00:15:22,00:51:46
Julian Fritzenschaft,00:05:37,00:00:00,00:30:54,00:00:00,00:15:19,00:51:49
Norman Fenske,00:05:35,00:00:00,00:30:44,00:00:00,00:15:37,00:51:55
Peter Lehmann,00:05:33,00:00:00,00:30:46,00:00:00,00:15:44,00:52:01
Anders Toft Nielsen,00:05:33,00:00:00,00:30:46,00:00:00,00:15:47,00:52:05
Hauke Horstmann,00:05:33,00:00:00,00:30:45,00:00:00,00:15:53,00:52:10
Timo Behrens,00:05:34,00:00:00,00:30:46,00:00:00,00:15:52,00:52:11
Thomas Nielsen,00:05:35,00:00:00,00:30:45,00:00:00,00:15:55,00:52:13
Christian Nass,00:05:37,00:00:00,00:30:49,00:00:00,00:15:55,00:52:19
Finn Timmermans,00:05:42,00:00:00,00:30:47,00:00:00,00:15:54,00:52:23
Oliver Hostrup Sahlberg,00:05:26,00:00:00,00:30:50,00:00:00,00:16:10,00:52:25
Lukas Mazur,00:05:43,00:00:00,00:30:41,00:00:00,00:16:06,00:52:29
Andreas Kjaer,00:05:35,00:00:00,00:30:55,00:00:00,00:16:01,00:52:30
Gustav Røn-Buskov,00:05:40,00:00:00,00:30:48,00:00:00,00:16:04,00:52:31
Alexander Brennecke,00:05:36,00:00:00,00:30:45,00:00:00,00:16:14,00:52:34
Niklas Dellke,00:05:42,00:00:00,00:30:51,00:00:00,00:16:15,00:52:47
Scott Anderson,00:05:40,00:00:00,00:30:50,00:00:00,00:16:20,00:52:49
Björn Scheibner,00:05:47,00:00:00,00:30:36,00:00:00,00:16:28,00:52:50
Kenneth Warmuth,00:05:45,00:00:00,00:30:42,00:00:00,00:16:27,00:52:53
Tim Mignon,00:05:52,00:00:00,00:30:48,00:00:00,00:16:16,00:52:54
Jonathan Trebst,00:05:45,00:00:00,00:30:32,00:00:00,00:16:39,00:52:55
Philipp Fahrenholz,00:05:38,00:00:00,00:30:36,00:00:00,00:16:48,00:53:02
David Breuer,00:05:37,00:00:00,00:30:41,00:00:00,00:16:47,00:53:04
