D5
2022-07-17
Lisa Tertsch,0:10:20,0:01:27,0:32:30,0:00:33,0:15:41,01:00:30
Rachel Klamer,0:10:19,0:01:32,0:32:26,0:00:32,0:16:11,01:00:57
Eva Daniëls,0:10:31,0:01:27,0:32:35,0:00:33,0:16:03,01:01:07
Annika Koch,0:10:29,0:01:25,0:32:38,0:00:33,0:16:11,01:01:15
Marlene Gomez-Göggel,0:10:22,0:01:30,0:32:42,0:00:37,0:16:46,01:01:55
Nina Eim,0:10:28,0:01:25,0:33:10,0:00:34,0:16:52,01:02:28
Kate Waugh,0:10:28,0:01:28,0:33:31,0:00:34,0:17:05,01:03:04
Jule Behrens,0:10:39,0:01:27,0:33:20,0:00:33,0:17:13,01:03:09
Franka Rust,0:11:01,0:01:28,0:33:15,0:00:37,0:17:00,01:03:19
Julia Bröcker,0:10:38,0:01:29,0:33:20,0:00:30,0:17:42,01:03:36
Lea Stratmann,0:10:35,0:01:34,0:33:18,0:00:40,0:17:39,01:03:45
Leana Bissig,0:10:37,0:01:29,0:33:31,0:00:35,0:17:36,01:03:46
Tereza Zimovjanova,0:10:50,0:01:30,0:34:24,0:00:34,0:16:33,01:03:49
Julia Hauser,0:10:51,0:01:35,0:34:16,0:00:37,0:17:03,01:04:19
Céline Kaiser,0:11:01,0:01:40,0:35:11,0:00:42,0:16:04,01:04:36
Hannah Stegmaier,0:10:54,0:01:34,0:34:02,0:00:37,0:17:34,01:04:38
Vanessa Possberg,0:10:39,0:01:29,0:34:47,0:00:33,0:17:16,01:04:42
Rebecca Bierbrauer,0:11:47,0:01:27,0:34:10,0:00:36,0:16:48,01:04:46
Helen Scheffold,0:10:25,0:01:36,0:34:42,0:00:36,0:17:59,01:05:16
Heidi Juránková,0:10:45,0:01:29,0:34:25,0:00:35,0:18:21,01:05:34
Lina Völker,0:10:35,0:01:34,0:34:31,0:00:32,0:18:27,01:05:36
Lara Thekla Ungewickell,0:10:41,0:01:33,0:34:28,0:00:40,0:18:18,01:05:37
Livia Wespe,0:11:02,0:01:31,0:34:09,0:00:33,0:18:32,01:05:45
Sophie Gießmann,0:10:36,0:01:29,0:34:38,0:00:33,0:18:43,01:05:57
Pia Wolf,0:10:20,0:01:37,0:34:45,0:00:42,0:18:41,01:06:04
Lucie Kammer,0:10:40,0:01:32,0:34:29,0:00:34,0:18:59,01:06:13
Sarah Schönfelder,0:12:34,0:01:39,0:33:37,0:00:38,0:17:58,01:06:24
Maite Küstner,0:10:31,0:01:32,0:35:22,0:00:33,0:18:32,01:06:28
Alina Würth,0:10:49,0:01:38,0:34:55,0:00:38,0:18:36,01:06:34
Joanna Wozniak,0:11:18,0:01:32,0:35:41,0:00:48,0:17:25,01:06:42
Lisa Gerß,0:11:32,0:01:34,0:35:22,0:00:42,0:17:40,01:06:49
Marike Schneehagen,0:11:38,0:01:28,0:35:24,0:00:36,0:17:46,01:06:50
Greta Groten,0:10:29,0:01:32,0:35:35,0:00:33,0:18:52,01:06:59
Maria Paulig,0:12:36,0:01:36,0:34:16,0:00:38,0:18:17,01:07:21
Isabel Altendorfer,0:10:58,0:01:34,0:35:03,0:00:36,0:19:37,01:07:47
Marit Van Den Berg,0:10:58,0:01:35,0:35:56,0:00:36,0:18:57,01:07:59
Anna Heyder,0:11:36,0:01:30,0:35:20,0:00:38,0:19:06,01:08:07
Pauline Feußner,0:10:29,0:01:37,0:36:20,0:00:39,0:19:26,01:08:28
Michelle Braun,0:11:16,0:01:47,0:35:27,0:00:44,0:19:29,01:08:41
Emma Fahrenson,0:10:42,0:01:33,0:36:59,0:00:35,0:19:01,01:08:48
Vera Nickel,0:11:54,0:01:46,0:36:33,0:00:38,0:18:17,01:09:06
Jule Resselberger,0:10:57,0:01:35,0:35:53,0:00:43,0:20:00,01:09:16
Felipa Herrmann,0:10:43,0:01:32,0:36:13,0:00:34,0:20:16,01:09:16
Amelie Hanf,0:10:51,0:01:35,0:37:00,0:00:42,0:19:27,01:09:31
Karina Kornmüller,0:10:58,0:01:38,0:36:52,0:00:38,0:19:39,01:09:42
Lina Gerlach,0:12:08,0:01:36,0:36:48,0:00:44,0:18:46,01:10:00
Antonia Koch,0:11:50,0:01:37,0:37:42,0:00:35,0:18:47,01:10:29
Rike Kubillus,0:11:26,0:01:36,0:36:25,0:00:39,0:20:33,01:10:37
Johanna Uherek,0:11:20,0:01:43,0:38:07,0:00:36,0:19:04,01:10:48
Emily Lucy Köpper,0:11:22,0:01:35,0:37:57,0:00:33,0:19:26,01:10:52
Lea van Beek,0:11:35,0:01:36,0:37:22,0:00:40,0:19:52,01:11:03
Niki Buggenhout,0:10:19,0:01:39,0:38:02,0:00:55,0:21:02,01:11:55
Theresa Timmerevers,0:11:45,0:01:52,0:36:54,0:00:38,0:20:34,01:12:02
Isabel Sterr,0:11:25,0:01:40,0:38:05,0:00:41,0:20:58,01:12:48
Lisa Heinrichs,0:12:16,0:01:48,0:40:49,0:00:45,0:19:30,01:15:06
Lina Franczyk,0:12:19,0:01:47,0:40:47,0:00:40,0:20:19,01:15:50
