D5
2022-06-19
Wilhelm Hirsch,00:09:07,00:01:21,00:31:11,00:01:05,00:15:57,0:58:42
Theo Sonnenberg,00:09:42,00:01:16,00:30:46,00:01:02,00:16:02,0:58:49
Jonas Hoffmann,00:09:41,00:01:16,00:30:46,00:01:03,00:16:05,0:58:51
Lasse Schöfisch,00:09:50,00:01:13,00:30:45,00:01:09,00:16:06,0:59:05
Marcel Bolbat,00:10:00,00:01:22,00:30:22,00:01:07,00:16:15,0:59:08
Marcel Lehmberg,00:09:41,00:01:14,00:30:44,00:01:03,00:16:27,0:59:11
Samuel Linsenmeier,00:09:32,00:01:23,00:30:49,00:01:13,00:16:32,0:59:30
Karl Diedrich,00:09:36,00:01:18,00:30:48,00:01:07,00:16:40,0:59:30
Mattia Weßling,00:09:45,00:01:21,00:30:32,00:01:08,00:16:56,0:59:43
Thomas Nielsen,00:09:42,00:01:17,00:30:47,00:01:08,00:16:57,0:59:53
Maximilian Meckel,00:09:36,00:01:23,00:30:43,00:01:09,00:17:11,01:00:04
Paul Wiesner,00:10:08,00:01:12,00:31:30,00:01:17,00:15:58,01:00:06
Thomas Cremers,00:10:32,00:01:32,00:30:43,00:01:15,00:16:04,01:00:08
Max Schröter,00:10:33,00:01:16,00:31:05,00:01:17,00:15:57,01:00:09
Jonathan Trebst,00:10:08,00:01:15,00:30:23,00:01:09,00:17:15,01:00:11
Maurice Witt,00:09:07,00:01:21,00:31:14,00:01:12,00:17:26,01:00:22
Felix Nadeborn,00:10:29,00:01:15,00:31:10,00:01:16,00:16:32,01:00:43
Nils Dehne,00:09:39,00:01:23,00:30:46,00:01:31,00:17:30,01:00:51
Ricardo Ammarell,00:09:49,00:01:12,00:30:46,00:01:15,00:17:55,01:00:58
Hauke Horstmann,00:10:10,00:01:18,00:31:11,00:01:08,00:17:16,01:01:05
Silas Engel Plambæk,00:10:50,00:01:22,00:30:43,00:01:13,00:16:57,01:01:06
Leon Schenke,00:10:34,00:01:21,00:30:57,00:01:14,00:17:01,01:01:08
Daniel Roggenland,00:09:58,00:01:19,00:30:24,00:01:09,00:18:20,01:01:10
Jan Baumgarten,00:10:04,00:01:20,00:31:25,00:01:11,00:17:10,01:01:12
Felix Günther,00:10:11,00:01:19,00:31:19,00:01:12,00:17:09,01:01:13
Michael Raelert,00:09:31,00:01:22,00:30:52,00:01:26,00:18:03,01:01:16
Justus Tillmann Wehrhahn,00:10:44,00:01:28,00:30:45,00:01:16,00:17:03,01:01:17
Lukas Mazur,00:09:10,00:01:19,00:31:15,00:01:15,00:18:19,01:01:20
Peter Spiekermann,00:10:24,00:01:26,00:31:02,00:01:21,00:17:07,01:01:23
Anderson Scott,00:10:09,00:01:24,00:31:11,00:01:20,00:17:19,01:01:26
Marc Günther,00:10:57,00:01:20,00:30:38,00:01:16,00:17:19,01:01:32
Jann Paul Jakisch,00:10:46,00:01:24,00:30:38,00:01:17,00:17:30,01:01:37
Junias Benjamin Groth,00:09:47,00:01:23,00:31:35,00:01:08,00:17:44,01:01:39
Robbin Rechenberg,00:11:34,00:01:23,00:31:05,00:01:11,00:16:30,01:01:45
Friedrich Hegge,00:10:11,00:01:20,00:31:18,00:01:17,00:17:41,01:01:49
Jonas Meyer,00:09:48,00:01:23,00:31:31,00:01:11,00:18:01,01:01:55
